# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[section] 敎門訂議
[col 02] 種種法을演出할大將來가有ᄒᆞ니是的大希
[col 03] 望을抱ᄒᆞᆫ吾敎報의活氣ᄂᆞᆫ果然如何ᄒᆞᆫ材料
[col 04] 로써如何히世界에供給코져ᄒᆞᄂᆞᆫ蓋吾敎
[col 05] ᄂᆞᆫ肉과靈의兩方面을攝ᄒᆞ야前者로ᄂᆞᆫ世와天의兩
[col 06] 對ᄒᆞ價値를圓滿케ᄒᆞ며後者ᄂᆞᆫ世에
[col 07] 方面의價値를圓成코져홈이라肉으로써靈
[col 08] 을忘ᄒᆞ거나靈으로써肉을忘ᄒᆞ면人은其半
[col 09] 分의價値ᄂᆞᆫ全然히消滅ᄒᆞ야天下에不經濟
[col 10] 一此에甚ᄒᆞ者無ᄒᆞ리로다世界ᄂᆞᆫ慾坑이며
[col 11] 肉身은苦體라無合理의迷惑으로可愛ᄒᆞ人
[col 12] 生을誘引ᄒᆞ야輒出輒沒ᄒᆞᄂᆞᆫ苦海에沒溺케
[col 13] ᄒᆞ며同時에迷妄의念이他의一般迷妄心을
[col 14] 誘起ᄒᆞ야靑天白日로光輝를失케ᄒᆞ며綠水
[col 15] 靑山으로陶汰를成케ᄒᆞ야我靈性은實로永
[col 16] 世難救의境에墜落ᄒᆞ나니將來無限의世界
[col 17] 에日로幾億萬으로産道ᄒᆞᆯ無盡無盡
