# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 敎門訂議
[col 02] 種種法을演出ᄒᆞᆯ大將來가有ᄒᆞ니是的大希
[col 03] 望을抱ᄒᆞ고吾敎報의活氣는果然如何ᄒᆞᆫ材料
[col 04] 로서如何히世界에供給코저ᄒᆞᄂᆞ뇨盖吾敎
[col 05] 는肉과靈의兩方面을攝ᄒᆞ야前者로서는世에
[col 06] 對ᄒᆞ야價值를圓滿케ᄒᆞ며後者는世와天의兩
[col 07] 方面의價值를圓成코저ᄒᆞᆷ이라肉으로서써靈
[col 08] 을忘ᄒᆞ거나靈으로서써肉을忘ᄒᆞ면人은其半
[col 09] 分의價值도全然히消滅ᄒᆞ야天下에不經濟
[col 10] ㅣ此에甚ᄒᆞᆫ者無ᄒᆞ리로다世界는慾坑이며
[col 11] 肉身은苦海라無理의迷惑으로可愛ᄒᆞᆫ人
[col 12] 生을誘引ᄒᆞ야輒出輒沒ᄒᆞᄂᆞᆫ苦海에沒溺케
[col 13] ᄒᆞ며同時에迷妄의念이他의一般迷妄心을
[col 14] 誘起ᄒᆞ야靑天白日로光輝를失케ᄒᆞ며綠水
[col 15] 靑山으로陶汰를成케ᄒᆞ야我靈性은實로永
[col 16] 世難救의境에墜落ᄒᆞ나니將來無限의世界
[col 17] 가日로幾億萬으로呈露ᄒᆞ야無量無數無量
