# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 敎理部
[col 02] 고個性이無ᄒᆞ면空間도亦無ᄒᆞᄂᆞ니我ᄂᆞᆫ
[col 03] 宙의中心이며個性은宇宙의本位됨을覺
[col 04] ᄒᆞ깃도다釋迦、基督、孔子로觀ᄒᆞ면我ᄂᆞᆫ
[col 05] 를爲ᄒᆞ야存ᄒᆞᆫ것이나我로觀ᄒᆞ면彼ᄂᆞᆫ我
[col 06] 爲ᄒᆞ야存ᄒᆞᆯ것이니我ᄂᆞᆫ[?]
[col 07] 人類의中心이며抑亦宇
[col 08] 宙의中心인져
[col 09] 宇宙에ᄂᆞᆫ第一原因도無
[col 10] ᄒᆞ며最終의結果卽終極
[col 11] 의目的도無ᄒᆞ니宇宙에
[col 12] 對ᄒᆞ不可知ᄂᆞᆫ決코我의
[col 13] 個性이아니라無限無極
[col 14] 無始無終이卽宇宙니라
[col 15] 此無限無極無始無終의裡에何物이最히
[col 16] 明ᄒᆞ나ᄒᆞ면卽我니라我個性의存在ᄂᆞᆫ事[?]
[col 17] 이니라人生觀은我로終ᄒᆞ며我로始ᄒᆞᄂᆞ
