# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 雜俎
[col 02] 오히려君을爲ᄒᆞ야哭ᄒᆞᄂᆞᆫ者ㅣ有ᄒᆞ되君을爲ᄒᆞ야哭ᄒᆞᄂᆞᆫ者ㅣ死ᄒᆞ야오히려哭ᄒᆞᄂᆞᆫ者
[col 03] 의有無ᄂᆞᆫ更히疑問이안닌가言念이此에到ᄒᆞ면余ᄂᆞᆫ君을爲ᄒᆞ야哭ᄒᆞᄂᆞᆫ者아니오余로
[col 04] 써余를哭ᄒᆞ노라同時에世에余와如ᄒᆞ無名
[col 05] 氏를爲ᄒᆞ야哭ᄒᆞ노라西哲이曰有名의英雄
[col 06] 을崇拜코저ᄒᆞ면先히無名의英雄을崇拜ᄒᆞ
[col 07] 라ᄒᆞ니余ᄂᆞᆫ此言詞를繰返ᄒᆞ야有名의敎友
[col 08] 를崇拜ᄒᆞᄂᆞᆫ者先히無名의敎友를崇拜ᄒᆞ
[col 09] 라ᄒᆞ노라一의大頭目의下에實로幾百幾十
[col 10] 의獻身的小頭目이有ᄒᆞ야쳐음으로完全ᄒᆞ
[col 11] 니라信敎數十年에瓢飮簞食ᄒᆞ며曲肱枕
[col 12] 敎會를成ᄒᆞᄂᆞᆫ者니君은實로無名의大頭目
[col 13] 之ᄒᆞ되不改其樂ᄒᆞ야光風霽月과如ᄒᆞ樂道
[col 14] 의志와金城鐵壁과如ᄒᆞ確敎의心은可히奪
