# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 講演
[col 02] 息ᄒᆞ야死ᄒᆞ而已라ᄒᆞ니果然吾人의生命은
[col 03] 短ᄒᆞ니라然ᄒᆞ나短ᄒᆞ生命됨을不拘ᄒᆞ고同
[col 04] 一의事를繰返ᄒᆞ은事實이라一切衆生이耘
[col 05] 耘히作ᄒᆞ며蠢蠢히動ᄒᆞ은摠是同一ᄒᆞ事를繰返
[col 06] ᄒᆞ면셔生命이最終一日
[col 07] 를得ᄒᆞᆯ뿐嗟홉다消遣法
[col 08] 의難ᄒᆞᆷ이여蓋消遣法은
[col 09] 人生의天職을刹那刹那
[col 10] 로實踐ᄒᆞᆷ을謂ᄒᆞᆷ이니刹
[col 11] 那에셔刹那를離ᄒᆞᄂᆞᆫ間
[col 12] 에無窮ᄒᆞ天職이此裏에
[col 13] 셔消化됨을通見ᄒᆞ라그
[col 14] 러ᄒᆞ야此無窮ᄒᆞ天職을把ᄒᆞ야勇敢히進步
[col 15] ᄒᆞ라此가消遣法中最高消遣法이니라然ᄒᆞ
[col 16] 나此ᄂᆞᆫ容易ᄒᆞᆯ業이아인故로吾人은時勢에
[col 17] 適合ᄒᆞ宗教
[col 18] 最高消遣法
[next] 
[col 20] 本之誠力山
[col 21] 言二位矣ᄂᆞ
[col 22] 無以誠之欲
