# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 篤信者의精靈不滅
[author] 李敦化
[col 03] 序는旣히夏初로다昨夜東園에風呻雨泣ᄒᆞ니佳三月
[col 04] 美少年을自矜ᄒᆞ든盡無量의花神은어ᄂᆞ듯天國으
[col 05] 로旅行ᄒᆞ고又綠陰芳草의新舞臺上祝融大帝의出席을
[col 06] 圓滿히通告ᄒᆞ고다시呼叫ᄒᆞ다天像도無常地像도無常人像
[col 07] 도無常無常은天地自然의眞理인가然ᄒᆞ나眞理되물
[col 08] 知ᄒᆞ면서常히無常을曉悟ᄒᆞᆫ人生의弱點이니라特히
[col 09] 死生의不平均에至ᄒᆞ야는聖賢의知와英雄의勇으로
[col 10] 도亦禦之働의處가無치아니ᄒᆞ니거든況常識의吾人이
[col 11] 야엇지斷魂의愛腸에拘泥치아니ᄒᆞ리오年月日에本
[col 12] 記者는高原數區를訪ᄒᆞ얏다夜는將次三更이라萬
[col 13] 籟千動은默想의宇宙에入코져ᄒᆞ야도되려一點의孤燈을
[col 14] 兩兩相對ᄒᆞ야世道人心事를隨問隨答ᄒᆞ는人은元元山數
