# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 俎
[col 02] 道、이세상에날것이니、걱정말고돌아가서、敬天
[col 03] 修道ᄒᆞ여서마초是卽吾人이金剛山을愛慕ᄒᆞᄂᆞᆫ所以
[col 04] 로다余의旅行도其動機가實로此因緣에서出ᄒᆞᆫ이明
[col 05] 白ᄒᆞ도다勿論不思議의余의風流一山河萬里踏破ᄒᆞ
[col 06] ᆫ余掌中의一短筇은余의無上友好伴侶라一步高一步
[col 07] 低上上峯「卽大禪師休憩處」에登ᄒᆞ야遼東의萬里일
[col 08] 긔一萬二千峯의白蓮朶가四時의春을帶ᄒᆞ여千古의雪
[col 09] 을戴ᄒᆞ고雲海半空에屹立ᄒᆞ야佛陀의顔과十天王의
[col 10] 威로世道의幻像을嘲笑ᄒᆞ며人事의無常을叱咤ᄒᆞᆷ에
[col 11] 方ᄒᆞ야是에서余ᄂᆞᆫ五湖烟月이寸衷에歸ᄒᆞ며千古英
[col 12] 雄이掌握에歸ᄒᆞᆫ듯ᄒᆞ야大雄觀이生ᄒᆞ도다勿論天下의名
[col 13] 勝을壓倒ᄒᆞᆫ金剛山이라石金剛의奇中奇、海金剛
[col 14] 의怪中怪、瀑金剛의妙中妙、何者가奇區別境이아니
[col 15] 리오만은山金剛의雄이하굵은金剛全体를總合大觀宮이
[col 16] 니是金剛山之大觀法이라浮日夜의乾坤이眼孔에徘
[col 17] 徊ᄒᆞ며東西分之山嶽이指頭에上下ᄒᆞ고特히望無際
