# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 講演
[col 02] 야親緣을結ᄒᆞ며朋友를交ᄒᆞ며隣人을連ᄒᆞ
[col 03] 야一種幷州의故鄕을作ᄒᆞ니眞無形의本籍
[col 04] 地라始히相忘不親切에至ᄒᆞ얏도다然ᄒᆞ나
[col 05] 類는類를求ᄒᆞ고과히靈은靈을交ᄒᆞ니故
[col 06] 로世態를斷호一刹那에不思議의悲壯이起
[col 07] ᄒᆞ은靈이靈의眞故鄕을戀愛ᄒᆞ이로다越鳥
[col 08] 南枝와胡馬北風우情의其然ᄒᆞ옴바니無形이
[col 09] 無形을戀愛ᄒᆞ옴도亦奇異ᄒᆞᆫ現像이아니로다
[col 10] 俗이여余의悲壯病을悲觀치勿ᄒᆞ라寧히余
[col 11] 는此悲壯病이世界에傳染되기를希望ᄒᆞ노라
[col 12] 何故오余所謂大宇宙的大悲壯은卽大宇宙
[col 13] 的大愉快니余는此大愉快가有ᄒᆞ옴으로余의
[col 14] 特性되ᄂᆞᆫ憂鬱을減ᄒᆞ며煩累를斷ᄒᆞ며苦痛
[col 15] 을絕ᄒᆞ여고又能히神性의無量功德을感ᄒᆞ
[col 16] 며天職의不遷大位를覺ᄒᆞ며世道人事의正
[col 17] 當흔義務를悟ᄒᆞ얏노라若短氣의人이此方
