# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 敎理部
[col 02] 想하야잇고一人은立ᄒᆞ야聰外에過하ᄂᆞᆫ行
[col 03] 樂의廣告를聞ᄒᆞ고잇더니旣而오廣告가過
[col 04] ᄒᆞ민立ᄒᆞ얏든書生은何를失ᄒᆞᆫ드시頗히疲
[col 05] 色을帶ᄒᆞ고席에臥ᄒᆞᄂᆞᆫ듸冥想에樂ᄒᆞᄂᆞᆫ者ᄂᆞᆫ
[col 06] 泰然히顔에和色이有ᄒᆞ니乃知로다外物을
[col 07] 樂ᄒᆞᄂᆞᆫ者ᄂᆞᆫ其時間이甚短ᄒᆞ고其報酬가有
[col 08] 害ᄒᆞ되內界를樂ᄒᆞᄂᆞᆫ者ᄂᆞᆫ時間이甚長하고
[col 09] 報酬가無限흠을乃知로다ᄃᆡ개一의我에三
[col 10] 의我가有ᄒᆞ니曰世我、人我、神我이라寒ᄒᆞ
[col 11] 면衣코저ᄒᆞ며、飢ᄒᆞ면食코저ᄒᆞᆷ은人類와
[col 12] 禽獸를勿論ᄒᆞ고通有ᄒᆞᆫ者라是卽世我니世
[col 13] 我ᄂᆞᆫ我의게兄의臂를挼ᄒᆞ고라도食을奪ᄒᆞ
[col 14] 라ᄒᆞ며他의墻을越ᄒᆞ고라도色을偸ᄒᆞ라ᄒᆞ
[col 15] 며力의不及을不拘ᄒᆞ고所爲를行ᄒᆞ라ᄒᆞ고
[col 16] 義의違反을不顧ᄒᆞ고所欲을行ᄒᆞ라ᄒᆞᄂᆞ니
[col 17] 然이나吾人은力의不及ᄒᆞᄂᆞᆫ바와義에違反
