# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 눈바를爲ᄒᆞ며又能히人我를行치못ᄒᆞᄂᆞᆫ
[col 03] 를行ᄒᆞᄂᆞᆫ者ᄂᆞᆫ誰이나我ᄂᆞᆫ此를名ᄒᆞ야神我
[col 04] 라ᄒᆞ니世我를制裁ᄒᆞᄂᆞᆫ者ᄂᆞᆫ人我이며人我
[col 05] 를人我케ᄒᆞᄂᆞᆫ者ᄂᆞᆫ神我니然ᄒᆞ면神我를養
[col 06] 케ᄒᆞᄂᆞᆫ方法은何이냐是卽冥想인디冥想은
[col 07] 最高宇宙의美를把來ᄒᆞ야我의神我를果케
[col 08] ᄒᆞᄂᆞᆫ力이有ᄒᆞ니科學者ᄂᆞᆫ物質의性을解剖
[col 09] ᄒᆞ야顯微鏡下에셔ᅟᅧ러가지小宇宙의美
[col 10] 를發見하고쳐음으로小宇宙의美가大宇
[col 11] 宙의美를凌駕ᄒᆞᆷ에驚嘆ᄒᆞ얏나니是에셔大
[col 12] 宇宙의組織이小宇宙의美ᄂᆞᆫ一切의活物이라其精
[col 13] 얏도다小宇宙의美ᄂᆞᆫ一切의活物이라其精
[col 14] 神이大三千界를貫ᄒᆞ며大萬有物을一通ᄒᆞ
[col 15] 야無漏無增의力으로一切를滅케ᄒᆞᄂᆞ니此
[col 16] 精神을發現케ᄒᆞ면能히向眼의力으로見치
