# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎門訂議
[col 02] 世界의今日에도오히려人을食ᄒᆞ고此를食
[col 03] ᄒᆞᆷ에는반다시何等祈禱가有ᄒᆞᆫ後ㅣ行ᄒᆞᆫ다
[col 04] ᄒᆞᆷ은探險家의屢屢實驗에依ᄒᆞ야證明ᄒᆞᆫ바
[col 05] 라然ᄒᆞ면何必南洋蠻人이리오吾人의先祖
[col 06] 도畢竟此過程을經ᄒᆞ야今日에進化가有ᄒᆞ
[col 07] 야슬것이라此點에셔吾人
[col 08] 은時의古今과人의文野를勿問ᄒᆞ고旣人이면先天的
[col 09] 固有의宗敎心이有ᄒᆞ야何
[col 10] 等의信仰을勿論ᄒᆞ고必然
[col 11] 的으로發生ᄒᆞ는것이라思
[col 12] ᄒᆞ노라人은如斯히固有의
[col 13] 宗敎心이有ᄒᆞᆯ바는何故이뇨是ㅣ人의精神
[col 14] 은卽天의精神이니人의肉體의拘束
[col 15] 을受ᄒᆞ야萬般의物質과戰ᄒᆞ눈間에必然의
[col 16] 疑懼와必然의恐怖가生ᄒᆞ야玆에大宇宙的
