# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 의中에在ᄒᆞ며同時에蠢動纖維의中에도包容ᄒᆞ엿고、
[col 03] 花笑鳥啼의中에在ᄒᆞ며同時에、枯木寒巖의中에도在ᄒᆞ며、特別非常의中에在ᄒᆞ며平凡尋常의中에忽
[col 04] 도昭然ᄒᆞᄂᆞ니然ᄒᆞ면眞理를高遠에求ᄒᆞ고卑近에
[col 05] 諸ᄒᆞ며特別에探ᄒᆞ고尋常에、蔑如ᄒᆞ이是眞理探求의
[col 06] 誤解라ᄒᆞ지로다試思ᄒᆞ라吾人의所謂眞理를稱ᄒᆞᄂᆞ者
[col 07] 눈如何흔點을特擧ᄒᆞ야稱ᄒᆞᆯ가若口으로、食ᄒᆞᄂᆞ物을
[col 08] 眞理라ᄒᆞ진되下으로排泄ᄒᆞᄂᆞ物도亦眞理가되지아니
[col 09] 치못ᄒᆞᆯ지며,內으로思考ᄒᆞᄂᆞ精神을眞理라稱ᄒᆞᆯ진되
[col 10] 外으로活動ᄒᆞᄂᆞ肉軆도亦眞理라言치아니치못ᄒᆞᆯ지니
[col 11] 故로有無統一、靈肉雙全은眞理全軆이며從ᄒᆞ야宗敎
[col 12] 의本領이라宗敎ᄂᆞᆫ此本領을失ᄒᆞ면現代文明을進化케
[col 13] ᄒᆞ며又融和치못ᄒᆞᆯ지라詳言ᄒᆞ면現代宗敎ᄂᆞᆫ靈肉雙全
[col 14] 主義를取치안임이不可ᄒᆞ니即眞理의全軆를包容ᄒᆞ야
[col 15] 此를應用치안임이不可ᄒᆞ도다故로現代宗敎ᄂᆞᆫ個人的
[col 16] 側面ᄯᅩ社會的側面을總合大觀ᄒᆞ야各個人의專攻的修養을
[col 17] 個人的側面으로觀ᄒᆞ면宗敎ᄂᆞᆫ、各個人의專攻的修養을責任을負擔ᄒᆞᆫ者라
[col 18] 要ᄒᆞ고社會的側面으로觀ᄒᆞ면宗敎ᄂᆞᆫ其專攻의修養을社
[col 19] 會에應用ᄒᆞ야協同主義를取ᄒᆞ이是라그리ᄒᆞ야專攻을
