# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 敦化
[author] 李[?]
[col 03] 以至言也我所性이며行也我所性이니處富貴而行하고
[col 04] 遇患難而行하고居貧賤而行하고在夷狄而行하고
[col 05] 我家며非徒換我家而非徒換我身家而止라將以一身而天下하며又將
[col 06] 以易萬世하니則擧將見天下大同호고萬世平和호리니
[col 07] 吾人之換性이極矣오吾敎之能事一達矣마然後에吾靈
[col 08] 徒ㅣ庶不負兩祖垂後之範而能無悖師門示做之至意矣
[col 09] 리라凡我靈友는其鑑于玆
[col 10] 니라、然호되吾人은眞理解釋에對호야思考的臆病을
[col 11] 除去할必要가有하니吾人은此思考的臆病을破壞하고
[col 12] 勇往直進히接觸호되되되、思慮호되되되、去就호되되
[col 13] 되、眞理의本體를諦得應用치안임이不可호되蓋眞理
[col 14] 는八方美人主義라暗明을勿論하며美와醜를不問하고
[col 15] 小와大、輕과重、厚와薄을不拘하고唯物의到處에唯行
[col 16] 의活動에間涉치안임이無하니、故로眞理는大天基辰
