# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎門訂議
[col 02] 客氣라然ㅎㆍ면我的自擾와自動은全히客氣의所使가안니
[col 03] 냐於是에我는大神師의誠葎을默念ㅎㆍ야曰「運數야죠
[col 04] 컨마는닥거야道德이라」我는此一言을讀破後一實도
[col 05] 冷汗이沾背ㅎㆍ옴을不覺ㅎㆍ엿스며戰慄이振身ㅎㆍ옴을禁치못
[col 06] ㅎㆍ엿노라
[col 07] 嗟咨다我가過去半生에活動ㅎㆍ던바무엇이든가我가敎門
[col 08] 에自獻ㅎㆍ던바무엇이든가我가敎門에責任진바무엇이든
[col 09] 가
[col 10] 嗚呼라「運數야죠컨마는닥거야道德이라」我의닥근바
[col 11] 道德이무엇이든가「너이마무슨運數가不勞自得ㅎㆍ단말가」
[col 12] 我가勞ㅎㆍ던바活動이무엇이든가此를讀ㅎㆍ사볼我는더욱
[col 13] 凡夫庸陋됨을自唾ㅎㆍ엿노라於是에余는一點의墨과一
[col 14] 枝의筆을持ㅎㆍ고敢히我敎門의一部에立ㅎㆍ야空腸과白眼
[col 15] 을가지고神聖ㅎㆍ고滿天下의天民에向ㅎㆍ야余의所懷를告
[col 16] 白ㅎㆍ게되엿노니是가我와我敎報間에因緣이成立된動機
[col 17] 이엿섯다
[col 18] 그리나我의抱ㅎㆍ던바憶量과我의知ㅎㆍ는바敎理는元來지혀
[col 19] 滄海一粟이라故로其所論이大概舊套虎皮狗의弊를不免ㅎㆍ
[col 20] 며盲人評象의譏를不脫ㅎㆍ엿스나然이나瓦礫의中에서
[col 21] 間間히金玉의寶光을發ㅎㆍ며我神聖의敎則에地判이正ㅎㆍ
