# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 高明
[col 02] 如何히張皇치라도我一旣히自心의自力을失치以上은我
[col 03] 무엇으로써人됨을表象ㅎ랴무엇으로써眞理됨을證明
[col 04] ㅎ랴
[col 05] 古人이曰抛却自家無盡藏持鉢乞門効貧兒라ㅎ니自家
[col 06] 의無盡藏이라ㅎ온곳은自己의心靈의寶庫를指稱함이니吾
[col 07] 人은此無盡藏의寶庫를發見함이吾人畢生의責任이며吾
[col 08] 人畢生의目的이라嗚呼라眞理에엇지二岐가有ㅎ리오
[col 09] 旣히自心을自覺ㅎ온以上은一天四海가皆我의所有가되며
[col 10] 三千世界가皆我의領地가되리라
[col 11] 言念이此에及ㅎ면我敎報의將來는人乃天의自力의誠力
[col 12] 과自力의進化를抱ㅎ고어듸ㅅ지든지自家無盡藏을發
[col 13] 見ㅎ야其토써人의無盡藏을同化케ㅎ며物의無盡藏을格
[col 14] 致케ㅎ며進ㅎ야天地宇宙의無盡藏을體化케ㅎ되布德으
[col 15] 로經을삼고廣濟로緯를삼아慓然히自立ㅎ며悠然히自適
[col 16] ㅎ되怒濤巨浪이天을衝ㅎ거든我一進ㅎ야其活氣를取ㅎ고
[col 17] 고泰山喬嶽이地에屹ㅎ거든我一進ㅎ야其自重을取ㅎ고
[col 18] 浮雲流水가閑閑ㅎ거든我一進ㅎ야其無爲를取ㅎ고光風
[col 19] 霽月이朗朗커든我一進ㅎ야其雅量을取ㅎ리라그리고
[col 20] 야大地山河로庭園을삼고大大天星辰으로光明을삼고天
[col 21] 地宇宙로理想을삼고時間空間으로期間을삼으리라
