# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p6.txt

[title] 敎門訂議
[col 02] 者ㅣ必然으로各種의宗敎를一堂의下에跪拜케하고其可否
[col 03] 와眞僞를選擇ㅎ야如何히宗敎에든지眞이탄取하고
[col 04] 虛이탄退ㅎ며正이탄擇하고邪이탄排ㅎ야萬信仰의
[col 05] 眞理로一大統一的宗敎를組織코저ㅎ는新議會가此地球
[col 06] 上에理想的으로實現되리라吾人은自信ㅎ는바이로다
[col 07] 元來저히信仰은自由라其一을執하고他一을强制ㅎ옴은是
[col 08] 一不可能의事이나人知의進步는必然으로是等의覺悟가
[col 09] 有ㅎ야不期而自動ㅎ時日이有하리라斷言치안이치못ㅎ올
[col 10] 지니是가宗敎統一의第二端緖이며
[col 11] 第三은哲人의公腦라宮은何이뇨此一世의人이
[col 12] 其仝室新覺悟가生흐所以는是實로神聖의公腦가有흐所
[col 13] 以로다
[col 14] 蓋人類腦는東西勿論ㅎ며南北을不拘하고同ㅡㅎ天賦의
[col 15] 性을所持하고此世에出ㅎ以上은這間에實不肖의差別은
[col 16] 有ㅎ지라도大體에서共通ㅎ意識과知能이有ㅎ所以로天
[col 17] 然的公理인明未開明의差異는敎育誘導의區別과
[col 18] 風俗文化의懸殊에原因ㅎ者오
[col 19] 然ㅎ되文明의進步는交通機關이成宮ㅎ에從ㅎ야罪境東
[col 20] 西一家世界一族의觀念에至ㅎ야文明은未開를化ㅎ야未
[col 21] 開文明과開明文明의差別은漸次水平等
[col 22] 到地地位에達到되며又一面에눈敎育의進步와原始의實
[col 23] 惑의知識的階級은甚ㅎ懸殊가消化ㅎ야人類의公腦는世
[col 24] 界를通ㅎ야上下를渾ㅎ야一거의一直線上에在케되엿
[col 25] 다다ㅎ야도過言이안이엿다於是에世人의宗敎에對ㅎ야公
[col 26] 腦도斯와如히發達ㅎ야雖自己의信仰ㅎ는바가안니로되
[col 27] 公平ㅎ意識下에서此를眞理로認定ㅎ에至ㅎ엿도다是의
[col 28] 公腦가發達ㅎ에從ㅎ야宗敎를統一코저ㅎ는觀念은何人
[col 29] 이든지異樣의感을抱치아니ㅎ리만치發達ㅎ에至ㅎ엿도
[col 30] 다即今日의世界에眼識者로處하야는如何ㅎ者가果然正
[col 31] 大ㅎ眞理를理解치못하엿다하엿고又其를理解ㅎ所以
[col 32] 上은吾儕가偏僻的區別이無히此를公認ㅎ야實際世益에
[col 33] 貢獻ㅎ리만치進步ㅎ엿노니是가即一哲人의公腦라
[col 34] 世界에如斯ㅎ公腦가多ㅎ에從ㅎ야統一의機運이漸次圓
[col 35] 滿ㅎ것은事理의固然이니是가宗敎統一의第三端緖이오
[col 36] 리라
[col 37] 宗敎는將來에此三大原因의下에統一되리만其實現
[col 38] 됨에將次如何ㅎ眞理와如何ㅎ方式下에서出頭될가是
[col 39] 即吾人이來號에順次論及코저ㅎ는彼岸信仰의衰頹와靈
[col 40] 性的信仰의勃興及門戶的宗敎의破壞와統一的宗敎의始
[col 41] 初가是로다
