# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 我觀東經
[author] 李敦化
[col 03] 然ᄒᆞ면吾人은知識啓發의初程으로「見」即五官의媒介
[col 04] 를利用ᄒᆞ야一切의經驗을必要가有ᄒᆞ며次에經驗된
[col 05] 材料를「疑」即意識의尺度로準酌ᄒᆞ야其味覺바를確信
[col 06] ᄒᆞ야立言ᄒᆞ면於是에個個의體質의資格이從ᄒᆞ야立言
[col 07] 者吾人의게直接與ᄒᆞ바니라
[col 08] 天象도見ᄒᆞ고地象도見ᄒᆞ고人事象도見ᄒᆞ라大天星辰의
[col 09] 運行은何故이며風雨雲烟의變化는何故이며春夏秋冬의循環
[col 10] 은何故이뇨蠢々々의羣態一此를偶然에付ᄒᆞ며喋々々의
[col 11] 小智一此를自然에任ᄒᆞ야天地는骨髓가空ᄒᆞ고宇宙는皮
[col 12] 殼뿐일ᄉᆞ이다
[col 13] 「小演」何人이든지先히經驗ᄒᆞ야바와四時의循環等이
[col 14] 니大神師一所謂春秋迭代、四時盛衰가是라ᄒᆞ야吾人은暫
[col 15] 時一萬有의變化를見ᄒᆞ면其를偶然으로不知不識에付ᄒᆞ고
[col 16] 譬컨대稍高尙한言論을抱ᄒᆞ야엇더한幾多近代科學
[col 17] 見者지라意識이可及ᄒᆞ도되疑ᄒᆞ지라理想이發
[col 18] 表되도되信되도되이눈神이吾人의게與ᄒᆞ바精神活動의責任
[col 19] 이며兩人이神에貢獻ᄒᆞ바精神義務의實施라ᄒᆞ마
[col 20] 然이나見者뿐으로도 우리의權威가發揮되지못ᄒᆞ것이
[col 21] 오疑者뿐으로도우리의眞樂이出生치못ᄒᆞᆯ者ㅣ아니라見ᄒᆞ
[col 22] 고疑ᄒᆞ야야所得이有ᄒᆞ며疑ᄒᆞ고그리ᄒᆞ야야理解가
[col 23] 바有ᄒᆞ거든이예其를信仰이라ᄒᆞ야吾人은吾人의自
[col 24] 信ᄒᆞ는바를堅確히信仰ᄒᆞ여서므로光明의世界에入
[col 25] ᄒᆞ야幸福의關鍵을把握得ᄒᆞ리라
[col 26] 「小演」吾人의知識啓發도兒童心理의發展과如ᄒᆞ야一
[col 27] 定한順序와一定한境界가有ᄒᆞ야其順序를踏ᄒᆞ며其境
[col 28] 界를漸치아니ᄒᆞ면這種의消息을通치못ᄒᆞ리니라
