# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 靈通說
[author] 李敦化
[col 03] 一、
[col 04] 宇宙의間에는種々의現象이잇ᄂᆞ니이른바物理的現象
[col 05] 化學的現象社會的現象心理的現象等이니이러
[col 06] ᄒᆞ現象을硏究ᄒᆞᄂᆞ學問을이론社會上科學이라ᄒᆞᄂᆞ니
[col 07] 是等科學은前世紀로브터現世紀에至ᄒᆞ야ᄂᆞᆫ長歲月을亘
[col 08] ᄒᆞ야發達叉發達ᄒᆞ야人類의幸福은科學을離ᄒᆞ야一日
[col 09] 이라도存在치못ᄒᆞ다主論ᄒᆞᄂᆞ니果然이現世界의空
[col 10] 氣를呼吸ᄒᆞ者ᄂᆞᆫ뉘든지科學의惠澤을蒙치아니ᄒᆞ者업
[col 11] 스리라그러ᄂᆞ現在及將來의無窮ᄒᆞ絕現象에對ᄒᆞ야
[col 12] 今日科學의力으로能히此를遺憾업시解明ᄒᆞ며叉開示
[col 13] 치못ᄒᆞᆯ것은知者를不待ᄒᆞ고斷言ᄒᆞ者니라然ᄒᆞ면今日
[col 14] 이른바靈通力이란者ᄂᆞᆫ吾人의修煉上難問이라其理ᄂᆞᆫ
[col 15] 科學의範圍를超越ᄒᆞ야科學의力으로能히此를解明치
[col 16] 못ᄒᆞᆯ者임으로써全然히無事實
[col 17] 或은迷信의自感이라排斥ᄒᆞᄂᆞ者ㅣ比々皆有ᄒᆞ니故로
[col 18] 고寧히科學上確明ᄒᆞ事實에依ᄒᆞ야此를畧說코져ᄒᆞᄂ
[col 19] 二、
[col 20] 靈通은何者인고、靈通이라ᄒᆞᆷ은要解ᄒᆞ면
[col 21] 現象이니換言ᄒᆞ면卽心靈의通一作用이니라精神의非常
[col 22] 勢力의發現이니라此現象은古今東西를勿論ᄒᆞ고累千
[col 23] 百載之間에實用에運ᄒᆞ者ㅣ其例가不少ᄒᆞ니卽儒佛仙
[col 24] 及各敎側에依ᄒᆞ야此를槪論ᄒᆞ면如左ᄒᆞ니
[col 25] 佛敎側에ᄂᆞᆫ六神通이有ᄒᆞ니曰●
[col 26] 一、天眼通이니肉眼以外의靈的眼을通ᄒᆞ야世間苦
[col 27] 樂의眞相을透見ᄒᆞ고塵界色々形々의物色이塵線의障
[col 28] 碍가無히根本的透見ᄒᆞᆷ
[col 29] 二、天耳通이니六道衆生의世間苦樂의言語를透視ᄒᆞ
[col 30] 며種々自然音波을攝取貫聽ᄒᆞ며乃至鳥獸의音聲々
[col 31] 저靈解ᄒᆞᆷ
