# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[section_running] 靈의秘密을闡明홈
[col 02] 過去千萬年前브터今日ᄭᅡ지前生의生
[col 03] 死苦樂의原因을隨機ᄒᆞ며
[col 04] 五、身을飛ᄒᆞ야山海의阻礙가無ᄒᆞ며
[col 05] 水火의妨害가無ᄒᆞ며風雨의侵襲이無ᄒᆞ며一切의身을昇
[col 06] 天入地의難境이라도避ᄒᆞ고
[col 07] 六、漏盡通이니漏盡即世界의見思惑이라能히見思
[col 08] 惑을隨滅ᄒᆞ면實로三界의生死ᄅᆞᆯ不受ᄒᆞ며大徹底大悟
[col 09] 體에入ᄒᆞ야大神通을得홈
[col 10] 儒家로論理의大家라靈通的大根底ᄂᆞᆫ詳說치못
[col 11] ᄒᆞ엿스나然이나一朝豁然貫通의岸에達ᄒᆞ면能히
[col 12] 朝陽의變化와鬼神의盛德과草木鳥獸의靈力을盛通
[col 13] ᄒᆞ야天地의大能力을通用ᄒᆞᆫ다ᄒᆞ이니此ᄂᆞᆫ儒敎의極致
[col 14] 니라
[col 15] 仙은本來의自然現象을持重ᄒᆞᆫ者라故로自然되ᄂᆞᆫ根本
[col 16] 的理會를通ᄒᆞ야能히此를修煉ᄒᆞ며此를運用ᄒᆞ면死生
[col 17] 의樂을超越ᄒᆞ야大自然의運命中에서永世無窮의變化
[col 18] 自在라ᄒᆞ엿스며
[col 19] 耶는其基督이大天의造化ᄅᆞᆯ通ᄒᆞ야盲人의明眼과啞者의
[col 20] 能言과跛者의能步等諸般痼疾을靈力으로治療ᄒᆞ엿
[col 21] ᄒᆞᆫ것이畢竟自實의自然ᄒᆞᆫ理致라
[col 22] 다ᄒᆞ니라
[col 23] 其他落般意想以外의非常現象을一〻히枚擧키不遑ᄒᆞ나
[col 24] 總言ᄒᆞ면靈通의各般現象으로表顯된바를言ᄒᆞᆷ이로다
[col 25] 今 吾敎의靈源은實로空前絶後의大時機라大神
[col 26] 師ᄭᅴ서靈源을發見ᄒᆞ신以後 海月神師에及ᄒᆞ야 又將來
[col 27] 의靈通者의確實出來ᄒᆞᆷ을世界가注目ᄒᆞᄂᆞᆫ中이어니와事實
[col 28] 로認定치아니치못ᄒᆞᆯ지며又靈通力에旣히事實
[col 29] 로認定치아니치못ᄒᆞᆯ事實인則此를事實로辨明키亦不難ᄒᆞ도다
[col 30] 三、辨說
[col 31] 人性의本來精神의非常現象을見ᄒᆞ고一人二人乃
[col 32] 至學者ᄭᅲ지此를不可思議로思ᄒᆞᄂᆞᆫ要컨디此ᄂᆞᆫ現在
[col 33] 의心理學이此를說明키不能ᄒᆞᆫ故라由來精神現象을
[col 34] 研究ᄒᆞᆷ에ᄂᆞᆫ吾人이平生云ᄒᆞᄂᆞᆫ바即(心)或은(精神)
[col 35] 의本體를明치아니ᄒᆞ이不可ᄒᆞ나然ᄒᆞ나從來의心理學
[col 36] 에셔ᄂᆞᆫ心或은精神의唯表象的으로實驗又經驗
[col 37] 象에ᄂᆞᆫ一毫도理隊를出入치아니ᄒᆞᆫ故이며從ᄒᆞ야實驗
[col 38] 以外의精神現象은心理로認定치아니ᄒᆞ야何等의
[col 39] 가靈通力即精神非常現象을心理로認定치아니ᄒᆞ야
[col 40] 耶는其基督이大天의造化ᄅᆞᆯ通ᄒᆞ야盲人의明眼과啞者의
[col 41] 能言과跛者의能步等諸般痼疾을靈力으로治療ᄒᆞ엿
[col 42] ᄒᆞᆫ것이畢竟自實의自然ᄒᆞᆫ理致라
[section] 敎理部
[col 44] 二五
