# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 敎理部
[col 02] 吾人은此一從來心理學을疑心ᄒᆞᄂᆞᆫ것이아니오即心理
[col 03] 學의範圍를擴張ᄒᆞ야靈通力의如何ᄭᆞ지此에셔講究코
[col 04] 져ᄒᆞᆷ이라
[col 05] 以上에述ᄒᆞᆷ과ᄀᆞᆺ치精神非常現象은東西古今에屢屢
[col 06] ᄒᆞᄂᆞᆫ例이니라一般人人은此를오즉珍奇ᄒᆞᆫ事라든지
[col 07] 不可思議로만思ᄒᆞ야徒히不審의眼을開ᄒᆞ고엿슬뿐이니
[col 08] 世人의不審이一面으로만은他一面異ᄒᆞᆫ事ᄂᆞᆫ何지容易히解得ᄒᆞᆯ事이며從ᄒᆞ야感覺도
[col 09] 으로見ᄒᆞ면亦是其然의理가不無ᄒᆞ니何者오是ᄂᆞᆫ由
[col 10] 來의學者等은科學의一方面에自偏自尊ᄒᆞ야一步를其
[col 11] 範圍外에出치못ᄒᆞᆫ故이엿ᄂᆞ니라然이나吾人의究研ᄒᆞᆫ
[col 12] ᄇᆞ로써思ᄒᆞ면斯와如ᄒᆞᆫ靈通力도學術的方面에서不思
[col 13] 議라든지不可解라든지云치아니ᄒᆞᆯ理力이確有ᄒᆞ리라ᄒᆞ
[col 14] 노라
[col 15] 現在의生理學物理學心理學이造化의外一面即
[col 16] 最小ᄒᆞᆫ片部分인事를不待ᄒᆞᆯ지라此와同樣으로現
[col 17] 在吾人에發現ᄒᆞᄂᆞᆫ人格도亦人間本性에關ᄒᆞᆫ總現
[col 18] 象이아임은明白ᄒᆞ니即普通人人의有ᄒᆞᆫ感覺과肉體생
[col 19] 이人格以外의全部가아니오人性은其本來에對ᄒᆞ야現在의
[next] 
[col 21] 四、原始時代의人類感覺
[col 22] 人類ᄂᆞᆫ何故로靈通力發現ᄒᆞ나ᄒᆞᆷ에對ᄒᆞ야此를說明코
[col 23] 져ᄒᆞ기前에吾人은먼져人類ᄂᆞᆫ原始時代에在ᄒᆞ야他動物과無
[col 24] 有ᄒᆞ도다人類ᄂᆞᆫ原始時代에在ᄒᆞ야他動物과無
[col 25] 異ᄒᆞᆫ事ᄂᆞᆫ何지容易히解得ᄒᆞᆯ事이며從ᄒᆞ야感覺도
[col 26] 現在心理學上記載ᄒᆞᆫ作用을不有ᄒᆞ엿슬지로다
[col 27] 進化學上의研究ᄒᆞᆫ說明에依ᄒᆞ면人類太初ᄂᆞᆫ一個細胞
[col 28] 此細胞가次第로分ᄒᆞ며分ᄒᆞᆫ細胞가發達ᄒᆞ야微菌
[col 29] 이되며鳥獸가되며人類이되엿ᄂᆞ니然ᄒᆞ면人類의
[col 30] 祖先도其原始時代에在ᄒᆞ야ᄂᆞᆫ亦是徵細ᄒᆞᆫ一個의生物
[col 31] 도勿論今日과如ᄒᆞᆯ形體도無ᄒᆞ며感覺도無ᄒᆞᆯ것은
[col 32] 言을不待ᄒᆞᆯ지라此時代에在ᄒᆞᆫ人類ᄂᆞᆫ人類될만ᄒᆞᆫ動物
[col 33] 의感覺이如何ᄒᆞ엿슬지到底히推測키不能ᄒᆞ나如
[col 34] 何든지一切感覺이今日과如ᄒᆞ엿슬지無ᄒᆞᆯ지 全히心理組織이無ᄒᆞ도다下等動
[col 35] 物에도一一의精神作用이有ᄒᆞ야種種의運動을成ᄒᆞᆫ다ᄒᆞ
