# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p5.txt

[title] 致理部
[col 02] 察이互相意志疏通ᄒᆞᄂᆞᆫ唯一의符號ㅣ되여슬지로다
[col 03] 或은其以前에在ᄒᆞ야는但히面相見ᄒᆞ면其意思을通知
[col 04] ᄒᆞ엿슬는지도未知ᄒᆞ지못ᄒᆞᆯ다然이나鳴聲意象等은오즉
[col 05] 表情에不過ᄒᆞ므로必要에應ᄒᆞ야次第發達ᄒᆞ야今日의
[col 06] 言語가되여슬지다
[col 07] 如此히思考ᄒᆞ면人類는或時代에셔言語를不用ᄒᆞ고도
[col 08] 自心을如意히他方에生慂ᄒᆞ지但吾人은言語와又는文章
[col 09] 으로其所思所想을佛法外에他道理가無ᄒᆞᆫ줄로만人의顔兒
[col 10] 를보고其思想을知ᄒᆞ고ᄒᆞ며不思議로思量이된다要컨
[col 11] 대吾人은記憶有ᄒᆞᆫ萬象萬法하며萬物을見ᄒᆞᆫ外에他道理가無
[col 12] ᄒᆞᆫ줄로認定ᄒᆞ고如何히意外의것은不知ᄒᆞ고不信ᄒᆞᄂᆞᆫ도다
[col 13] 然이나他의動物을經驗的으로詳察ᄒᆞ며又는實驗的으로反評하더
[col 14] 라도吾人의知覺의範圍로만思考ᄒᆞᆯ뿐이오其感覺을持ᄒᆞ야事實은實
[col 15] 로驚駭할바不少ᄒᆞᆫ者ㅣ잇슬인則此에依ᄒᆞ야吾人은現在五感
[col 16] 的感覺以外의可能性無限
[col 17] ᄒᆞ야如何한變體에依ᄒᆞ야萬物을見ᄒᆞᆫ外에他道理가無
[col 18] ᄒᆞᆫ줄로만思考ᄒᆞ고思考ᄒᆞᆯ뿐이다
[col 19] 感覺을基하야思考를經酌ᄒᆞ고又는實驗的으로反評하더라도
[col 20] 吾人의知覺의範圍로만思考ᄒᆞᆯ뿐이오其感覺을持ᄒᆞ야事實은實
[col 21] 로驚駭할바不少ᄒᆞᆫ者ㅣ잇슬인則此에依ᄒᆞ야吾人은現在五感
[col 22] 的感覺以外의可能性無限
[col 23] 潛藏精神의靈感或作用이神秘한命令을可認ᄒᆞᆯ지니라
[col 24] 然ᄒᆞ면即吾人의靈通力은即吾人의內心內容에包容된바潛勢
[col 25] 力의發現即精神의神通이오事實로表顯된바決코虛靈無妄한想이아
[col 26] 님을可知ᄒᆞᆯ지니라
[col 27] (未完)
