# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 眞實된信仰生活
[author] 李敦化
[col 03] 吾人은如何히處世ᄒᆞᆯ것인가吾人은如何
[col 04] 히自己의一生을措處ᄒᆞᆯ것인가是實
[col 05] 로古今의大問題니라東西萬里와上下千
[col 06] 載에各時代의賢哲이畢生의腦漿을絞하
[col 07] 야吾人을敎誨하며訓導코實로積功이多大ㅎ
[col 08] 도다然이나吾人은其들의敎訓과其들의
[col 09] 指導를把來ㅎ야直히吾人生活의材料를作
[col 10] 成코저ᄒᆞᆫ吾人心理의慰安을調理코저ᄒᆞᆫ잇스랴
[col 11] 吾人은恒常히古今大聖의敎誨遺訓을對ᄒᆞᆯ
[col 12] 際마다這裡에實로未盡코臆說과未決코
[col 13] 壟斷이伏在코잇슴을發見코잇스며又其
[col 14] 들의自體로도此未盡未決에向ㅎ야大宇宙
[col 15] 의大憂鬱大宇宙의大悲吐를吐코後世의
[col 16] 自己의所信一部를敢히筆舌에依ㅎ야表顯
[col 17] 코바로思ㅎ면人生의奧底에는如何히神秘
[col 18] 秘의深理가伏在코잇슴을可知코저오又人
[col 19] 生의悲哀와憂鬱은少하야도吾人의先天的
[col 20] 負債임은思치아니치못ᄒᆞ리로다
[col 21] 嗚呼라古今을通ㅎ며東西를亘ㅎ야
[col 22] 吾人의視線을暗黑히ㅎ며吾人의原力을
[col 23] 打搾케ㅎ는此落膽失望의聲은屢々히吾人
[col 24] 耳朶를打擊코느니恐컨데是ㅡ何人이든지
