# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 敎門訂議
[col 02] 을삼
[col 03] 상으라
[col 04] 吾人은其를自尊心의破壞로보리第一步를삼
[col 05] 지아니치못할지모다
[col 06] 海月神師ㅣ일즉道儒에게謂ᄒᆞ야一
[col 07] 節에曰
[col 08] 吾ㅣ血塊ㅣ아니어니
[col 09] 만일血氣를生케ᄒᆞᆫ則道를傷케ᄒᆞᆷ이오
[col 10] 吾ㅣ此를爲
[col 11] 치아니ᄒᆞ노라
[col 12] 吾ㅣ또肉體를不知ᄒᆞ리만은
[col 13] 然이
[col 14] 吾ㅣ此를爲치아니ᄒᆞᆷ은
[col 15] 道를養치못ᄒᆞᆫ故로써니라
[col 16] 吾ㅣ비록婦女小兒의言이라도
[col 17] 또ᄒᆞᆫ可히學ᄒᆞ며또ᄒᆞᆫ
[col 18] 可히師ᄒᆞᆯ것이잇다ᄒᆞ노니
[col 19] 이게諸君을보건대
[col 20] 自尊
[col 21] 心이無ᄒᆞᆫ바아이
[col 22] 오히려非의心이업스리오만은
[col 23] 吾ㅣ此를爲
[col 24] 치아니ᄒᆞ노라
[col 25] 吾ㅣ또玄心이無ᄒᆞᆫ바아
[col 26] 니로되
[col 27] 吾ㅣ此를爲치아니ᄒᆞᆷ은
[col 28] 道를養치못ᄒᆞᆯ가
[col 29] ᄒᆞᆷ이오
[col 30] 또吾ㅣ玄心이無ᄒᆞᆫ바아니로되
[col 31] 吾ㅣ此
[col 32] 를爲치아니ᄒᆞᆷ은
[col 33] 道를養치못ᄒᆞᆯ가ᄒᆞᆷ이오
[col 34] 또
[col 35] 玄心이無ᄒᆞᆫ바아니로되
[col 36] 吾ㅣ此를爲치아니ᄒᆞᆷ은
[col 37] 道를養치못ᄒᆞᆯ가
[col 38] ᄒᆞᆷ이오라
[col 39] 吾人은此를自尊心의破壞로보리第一步를삼
[col 40] 지아니치못할지모다
[col 41] 海月神師ㅣ일즉道儒에게謂ᄒᆞ야一
[col 42] 節에曰
[col 43] 吾ㅣ血塊ㅣ아니어니
[col 44] 엇지是非의心이업스리오만은
[col 45] 吾ㅣ此를爲
[col 46] 치아니ᄒᆞ노라
[col 47] 吾ㅣ또肉體를不知ᄒᆞ리만은
[col 48] 然이
[col 49] 吾ㅣ此를爲치아니ᄒᆞᆷ은
[col 50] 道를養치못ᄒᆞᆫ故로써니라
[col 51] 吾ㅣ비록婦女小兒의言이라도
[col 52] 또ᄒᆞᆫ可히學ᄒᆞ며또ᄒᆞᆫ
[col 53] 可히師ᄒᆞᆯ것이잇다ᄒᆞ노니
[col 54] 이게諸君을보건대
[col 55] 自尊
[col 56] 心이無ᄒᆞᆫ바아
[col 57] 니로되
[col 58] 吾ㅣ또玄心이無ᄒᆞᆫ바아
[col 59] 니로되
[col 60] 吾ㅣ此를爲치아니ᄒᆞᆷ은
[col 61] 道를養치못ᄒᆞᆯ가
[col 62] ᄒᆞᆷ이오
[col 63] 또吾ㅣ玄心이無ᄒᆞᆫ바아
[col 64] 니로되
