# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[title] 敎門訂機
[col 02] 然ᄒᆞ면其或物이라ᄒᆞᆷ은何物일가吾人
[col 03] 은此를强히名ᄒᆞ야天이라ᄒᆞ며靈이라ᄒᆞ
[col 04] 며理라ᄒᆞ며大性이라ᄒᆞ며本來心이라
[col 05] ᄒᆞ느니宇宙萬象은其或物이有ᄒᆞᆫ故로
[col 06] 大天을組織ᄒᆞ며大地를起伏케ᄒᆞ느니嗚
[col 07] 呼라彼一或物이鬼인냐神인냐陰인냐
[col 08] 陽인냐宇宙萬象에게共全히宇宙萬象된
[col 09] 或物이有ᄒᆞᆯ진터나의게도반듯이나의
[col 10] 我된或物이有ᄒᆞᆯ거시니吾人은其或物이
[col 11] 有ᄒᆞᆷ으로써能히動ᄒᆞ며靜ᄒᆞ며視ᄒᆞ며
[col 12] 聽ᄒᆞ며笑ᄒᆞ며語ᄒᆞ도다
[col 13] 道德歌의一節에
[col 14] 「슬프다無知ᄒᆞᆫ世上사룸아는바天地라도
[col 15] 敬畏之心업셔스니아는것이무엇이
[col 16] 며天上에上帝님이玉京臺에게시다
[col 17] 고보는다시말을ᄒᆞ니陰陽理致姑舍
[col 18] ᄒᆞ고虛無之說안일넌가」속에사룸々
[col 19] 々爲ᄒᆞᆫ것이各色마다鬼神이라이런
[col 20] 知覺求景ᄒᆞ소天地亦是鬼神이오鬼
[col 21] 神亦是陰陽인줄이갓치몰나스니經
[col 22] 傳살펴무엇ᄒᆞ며「略」내비록四十平生
[col 23] 布衣寒士뿐이로티天地야몰를소냐
[col 24] 사룸의手足動靜이는亦은鬼神이오
[col 25] 善惡間마암用事이는亦은氣運이오
[col 26] 말ᄒᆞ고웃는것은이는亦是造化로세
[col 27] 이는大神師의訓辭中一이라大神師는直
[col 28] 接我에在ᄒᆞᆫ一或物을稱ᄒᆞ야이를陰陽이
[col 29] 라ᄒᆞ며이를鬼神이라ᄒᆞ며終에此를上
[col 30] 帝라稱ᄒᆞ엿도다然ᄒᆞ면我에게在ᄒᆞᆫ一或
[col 31] 物은何로써傳來ᄒᆞ엿는가
[col 32] 無體法에曰
[col 33] 我에基點은性天에서基因ᄒᆞ바오性天
[col 34] 의根本ᄒᆞ바는天地未判의前부터始ᄒᆞ야
[col 35] 是時億々萬年이我로부터始ᄒᆞ엿스며
