# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p5.txt

[section_running] 敎門訂議
[col 02] 吾人은今日에坐ᄒᆞ야敢히吾人의信ᄒᆞᄂᆞᆫ天道敎로써復活의宗敎라斷言ᄒᆞ노라余ᄂᆞᆫ決코自畵自贊의義로ᄡᅳᆷ이아니오特히局外者의資格으로써公平ᄒᆞᆫ觀察을下ᄒᆞᆷ에不過ᄒᆞ노니余ᄂᆞᆫ但히吾敎의精神을一貫ᄒᆞᆫ人乃天主義
[col 03] 가能히萬宗敎의理想을總合ᄒᆞ야復活된最高善의境涯임으로써云ᄒᆞᆷ이라然ᄒᆞ면人乃天은어ᄂᆞ點에서能히最高善의境涯되ᄂᆞᆫ自己啓發主義를抱持ᄒᆞ얏ᄂᆞᆫ고其를大槪로써一言ᄒᆞ면
[col 04] 吾人은言ᄒᆞ노라만일幸福이自己啓發의目標라ᄒᆞ면吾人은人乃天主義下에立ᄒᆞᆫ幸福을暫述ᄒᆞ리라古人이曰抛却自家無盡藏ᄒᆞ고持鉢乞門効貧兒라ᄒᆞ니이ᄂᆞᆫ徹頭徹尾ᅵ自己啓發을意味ᄒᆞᆫ警何라吾人이雖萬乘의尊四海의富를有ᄒᆞ엿슬지라도自己를解釋치못ᄒᆞ면
[col 05] 其ᄂᆞᆫ世에虛生ᄒᆞᄂᆞᆫ者라ᄒᆞᆯ지니所謂空手來空手去ᄂᆞᆫ이를이름이라其ᄂᆞᆫ千金의子가市門에乞ᄒᆞᆷ과何異ᄒᆞ랴是點에서人乃天主義ᄂᆞᆫ自己의無限ᄒᆞᆫ心靈의寶庫를發揮ᄒᆞ야能히此를自饋自樂ᄒᆞᄂᆞ니
[col 06] 又
[col 07] 自己啓發이平和에在ᄒᆞᆫ다ᄒᆞ면人乃天主義ᄂᆞᆫ自己로自天을啓發이先히心國의平和를得ᄒᆞᆯ後ᅵ自天으로更히萬人이皆日可ᄒᆞ다ᄂᆞᆫ吾人의理想
[col 08] 他人의天을化케ᄒᆞ야一切人間을平等으로看ᄒᆞ며一切物을同胞로看ᄒᆞ야一切의世界를天國으로化케ᄒᆞᆯ만ᄒᆞᆫ大城壁이有ᄒᆞᄂᆞ니其故ᄂᆞᆫ一切物을天主로敬愛ᄒᆞᄂᆞᆫ바必然的結果임으로써라
[col 09] 又
[col 10] 自己啓發이自己實現에在ᄒᆞᆫ다ᄒᆞ면人乃天主義ᄂᆞᆫ無形으로神에依치아니ᄒᆞ며有形으로人에도依치아니ᄒᆞ고어대ᄭᆞ지든지自己의神力을盡ᄒᆞ야自巳의良能을發揮ᄒᆞᄂᆞ니其故ᄂᆞᆫ自己를天主로認ᄒᆞᆷ으로써라
[col 11] 又
[col 12] 自己啓發이生命開發이라ᄒᆞ면人乃天主義ᄂᆞᆫ自天을修煉ᄒᆞ야永久無盡의靈的生命을得ᄒᆞᆯ者이니其故ᄂᆞᆫ天人合一主義이면無有의一般主義임으로써라
[col 13] 以上의數條에依ᄒᆞ야人乃天은徹頭徹尾ᅵ自己啓發의信仰을背에負ᄒᆞ고五萬年의未來를將來後天開闢에出現ᄒᆞᆯ者이니萬一今日以後에宗敎가無ᄒᆞᄂᆞᆫ日이到ᄒᆞ면己어니와少ᄒᆞ야도宗敎가有ᄒᆞ야人心의領地를支配ᄒᆞᆫ다ᄒᆞ면人乃天主義ᄂᆞᆫ强制的으로됨도아니오今日以後에到達ᄒᆞᆯ만ᄒᆞᆫ其ᄂᆞᆫ自己啓發을捨ᄒᆞ고別로他道가無ᄒᆞᆫ즉自己啓發에係ᄒᆞᆫ自己啓發의必然으로안이오萬人의必然으로도着ᄒᆞᆯ진뎌
