# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 敎門訂義
[col 02] 余ᄂᆞᆫ思ᄒᆞ노니先師의精靈은吾人의精神으로더부러融
[col 03] 合一致되엿슬것이다誰가思ᄒᆞ든지人에게死後精靈
[col 04] 이無ᄒᆞ다ᄒᆞ면己어이와若ᄉᆞ有ᄒᆞ다ᄒᆞ면後人이徒弟의
[col 05] 活精神을바리고何處에依據ᄒᆞ엿스랴故로吾人이先
[col 06] 師의精靈을拜코저ᄒᆞ면반듯시自己의精靈에拜ᄒᆞᆯ것
[col 07] 이라
[col 08] ᄒᆞ엿스머聖師ᅵ大神師의性靈出世說로써吾人을敎ᄒᆞ시
[col 09] ᄂᆞᆫ一節에曰
[col 10] 余ᅵ日昨梁山에셔修煉ᄒᆞᆯ시慾然히昔時此地見今日又看
[col 11] ᄉᆞᆯ의句를得ᄒᆞ엿ᄂᆞ니是ᄂᆞᆫ大神師의昔時와余의今日
[col 12] 이性靈上同一心法上에立ᄒᆞ엿슴을言ᄒᆞ이라思ᄒᆞᆫ다大
[col 13] 神師ᄂᆞᆫ旣히性靈으로出世ᄒᆞ엿ᄂᆞ니라宇宙의大精靈은
[col 14] 大神師의性靈으로出世ᄒᆞ엿다ᄒᆞ니라換言ᄒᆞ면大神師의性靈이
[col 15] 更히億兆의性靈으로出世ᄒᆞ엿ᄂᆞ니是ᅵ宇宙妙法의轉
[col 16] 輪이니라
[col 17] 偉ᄒᆞ다一切萬物ᅵ物ᄉᆞ心ᄉᆞ物ᄉᆞ이皆大神師의
[col 18] 靈性的敎順ᅵ안임이업도다然이나吾人이此를覺得
[col 19] ᄒᆞᆷ은覺得치못ᄒᆞᆷ은全혀自己性靈의修煉不修煉의
[col 20] 關係니萬一吾人으로大神師의心法을受ᄒᆞ야性靈修
[col 21] 煉의結果ᅵ一朝俗然의境에到達ᄒᆞ면玆에大神師의
[col 22] 心法이一切宇宙의心法되ᄆᆞ을覺ᄒᆞᆯ지며從ᄒᆞ야自己의
[col 23] 性靈이卽大神師의靈性됨을覺ᄒᆞᆯ지니不生不滅無漏
[col 24] 無增은大性靈의根本的出世니라
[col 25] 吾人은於是에祈禧의觀念을那邊에置重ᄒᆞᆯ것을確知
[col 26] ᄒᆞ엿노라吾人은決코因襲的宗敎가祖師의精靈을自
[col 27] 以外出世的別區에셔求코저ᄒᆞᄂᆞᆫ迷信的信仰을模倣코저
[col 28] 안이ᄒᆞ노라吾人의中에ᄂᆞᆫ新ᄒᆞᆫ眞理와新ᄒᆞᆫ信
[col 29] 條가잇ᄂᆞ니即大神師의
[col 30] 今日此偉大호佳辰을祝코저ᄒᆞᄂᆞᆫ바이로다大神人의
[col 31] 精靈은어ᄂᆞ듯吾人의精靈으로融合一致가되엿ᄂᆞ니吾人
[col 32] 은大神下에셔먼저自覺ᄒᆞ며自己를崇拜코저ᄒᆞ노
[col 33] 라吾人은於是에天地宇宙의新意味와人
[col 34] 間世界의新目的을定ᄒᆞ엿ᄂᆞ니宇宙人生의無意味를卿ᄒᆞ
[col 35] ᄂᆞᆫ者ᅵ來ᄒᆞ야此新敎訓을受ᄒᆞ라
[col 36] 大神師ᅵ恒常말ᄒᆞ기를余ᄂᆞᆫ長生ᄒᆞ야德을天下에布
[col 37] ᄒᆞ리라ᄒᆞ시며ᄯᅩ말ᄒᆞ되口로長生의呪을誦ᄒᆞ며胸에不
[col 38] 死의藥을藏ᄒᆞ엿노라ᄒᆞ엿스니吾人은此一言의下에셔
[col 39] 自進ᄒᆞ야新覺性을挑發치안이ᄒᆞᆷ이不可ᄒᆞ도다
[col 40] 疑ᄒᆞ라大神師의所謂長生不死의遺訓은如何ᄒᆞᆫ眞理의
[col 41] 五
