# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 十月二十八日大祈禱
[author] 李敦化
[col 03] 人生을弄ᄒᆞ는者ㅣ有ᄒᆞ야曰人生은無意味의動物이니
[col 04] 라無意味로生ᄒᆞ야無意味로死ᄒᆞᄂᆞ니譬컨데水로成ᄒᆞ
[col 05] 泡가無意味로出ᄒᆞ였다가無意味로沒ᄒᆞᆷ갓지人生도또한
[col 06] 斯와如ᄒᆞ다戱謔ᄒᆞᄂᆞ니嗚呼라是一何等의消極의言이
[col 07] 며是一何等苦痛의言이냐萬一人生으로써無意味라假
[col 08] 定ᄒᆞ면一切萬物은一層無意味가될지며天地宇宙도
[col 09] 更히無意味의源泉이되지안이지못ᄒᆞ리니是等의言이
[col 10] 吾人의人生을驅ᄒᆞ야憤憫의境에驅入ᄒᆞᆷ을마치아니ᄒᆞ도
[col 11] 다試ᄒᆞ야余다려天地宇宙의大意味大意識됨을語케ᄒᆞ
[col 12] 여라
[col 13] 距今九十七年前-甲申十月二十八日에慶州龜尾山이
[col 14] 三日을鳴ᄒᆞ더니瑞雲이柯亭里崔山林公家를繞ᄒᆞ지已久
[col 15] 에天滿의香氣에應ᄒᆞ야颯々의聲이一出ᄒᆞ니是即天道敎
[col 16] 元祖水雲大神師이엇도다
[col 17] 이를名ᄒᆞ야世人이奇蹟이라稱ᄒᆞ나니奇蹟은即神秘의
[col 18] 에는實로無限의伏能이有ᄒᆞᆷ을可知ᄒᆞ리라
[col 19] 果然ᄒᆞ다宇宙는伏能이有ᄒᆞ니라伏能이有ᄒᆞ므로써學
[col 20] 者는學理를發明ᄒᆞ며意匠家는意匠을創造ᄒᆞᄂᆞ니萬一宇
[col 21] 宙의間에伏能이업다ᄒᆞ면進化의路는玆에窒塞되고改造
[col 22] 의式은玆에停滯ᄒᆞᆯ뿐이니吾人은무엇으로써活動의力을
[col 23] 得ᄒᆞᆯ것인가
[col 24] 思컨대天地宇宙의今日은天地宇宙의伏能을展開ᄒᆞᆷ
[col 25] 物園이라ᄒᆞᆯ지니宇宙는永却無始以前에서無何有의一物
[col 26] 로부터漸次伏能을展開ᄒᆞ기始作ᄒᆞ야終에今日의宇宙를
[col 27] 有케되엿ᄂᆞ니뉘이偉大ᄒᆞᆫ伏能의力을蔑視ᄒᆞᆯ者ㅣ잇스
[col 28] 랴故로宇宙에는아직도無量無極의伏能이有ᄒᆞ야機에
[col 29] 因ᄒᆞ며時에應ᄒᆞ야刹那的表顯이有ᄒᆞ者ㅣ이곳奇蹟이니
[col 30] 故로奇蹟은아직經驗이안인伏能의事實이神秘의偉力을
[col 31] 表示키爲ᄒᆞ야出現ᄒᆞ는者라ᄒᆞᆯ지로다
[col 32] 是點에서龜尾山이鳴ᄒᆞ며瑞雲의起ᄒᆞᆷ은摠히神秘의發
