# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 改造와宗敎
[author] 李敦化
[col 03] 改造二字는現代的新句語가되야頗히非常의力으로吾
[col 04] 人의耳膜을打擊ᄒᆞ노도다世를憂ᄒᆞ는者ㅣ반다시改造
[col 05] 를言ᄒᆞ며事業을營ᄒᆞ는者ㅣ또改造를說ᄒᆞ야雖ㅣ三村
[col 06] 學究齋東野夫라도能히此를唱導케되엿느니然ᄒᆞ면
[col 07] 改造라홈은무엇을意味ᄒᆞᆷ인가此를但히字義上으로붓
[col 08] 터思考ᄒᆞ면改造는卽非를規ᄒᆞ야是에就ᄒᆞ며誤를解ᄒᆞ
[col 09] 야正에進홈을가리침이니此를個人의上으로言ᄒᆞ면古語
[col 10] 에所謂「改過遷善」이라ᄒᆞ며「人誰無過리오改之爲貴」라
[col 11] ᄒᆞᆷ이皆ㅣ舊日의惡을改ᄒᆞ고善에遷ᄒᆞ야新人이되라勸獎
[col 12] ᄒᆞ는意味이로도다그러ᄒᆞ야此를世界上으로觀ᄒᆞ면社會
[col 13] 의風化를改善ᄒᆞ야新히幸福의別天地를作코저ᄒᆞᆷ의전디
[col 14] 如何를지改造라홈은過去의非를改正ᄒᆞ고新히善에方針
[col 15] 과趨向과努力을加ᄒᆞ야個人과社會를一層幸福의境에到達
[col 16] 故로改造는卽進化의連鎖點을말ᄒᆞᆷ이니或時代의進化
[col 17] 가엇더한機會와엇더한作用에依ᄒᆞ야一層突變ᄒᆞ야新
[col 18] 時代를作ᄒᆞ는者를稱ᄒᆞ야改造라ᄒᆞ야도또毫無妨ᄒᆞᆯ者
[col 19] 이라吾人은이러한進化의原理를가져故로能히萬物의
[col 20] 靈長이된人乃天의原理에到達ᄒᆞ게되엿도다
[col 21] 蓋宇宙는改造에改造를加ᄒᆞ는伏能의展覽品이라混沌
[col 22] 無一物로始ᄒᆞ야無有를肇判ᄒᆞ며太陽系를組織ᄒᆞ여終에
[col 23] 萬有를生成ᄒᆞ야秩序井然ᄒᆞᆫ今日의宇宙가됨은實로大神
[col 24] 의無限한伏能으로絕對的改造를實行ᄒᆞ야着々進化의步
[col 25] 를渾天에至ᄒᆞᆷ이니然ᄒᆞ면吾人人世의發展進化도亦
[col 26] 此宇宙의改造의絕對原理에基因치안인者라云치안이치
[col 27] 못ᄒᆞ리로다
[col 28] 太古에有巢의民이木實時代로부터一變ᄒᆞ야火食時代
