# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p5.txt

[title] 敎門訂議
[col 02] 되야一物一質이라도摠히神의美麗意表顯됨을證明호
[col 03] 만호事實的原理를具備한者ㅣ되리니此에到호면科
[col 04] 學은宗敎의一分子로宗敎範圍內ㅣ잇던物質의一部를
[col 05] 解剖호야神의存在를闡明호는者가되리라
[col 06] 第三新宗敎는哲學을益益包容호는宗敎가되리라卽
[col 07] 哲學은宗敎의先驅가되야宇宙의原理를證明호야新
[col 08] 宗敎의信仰에益々其熱度를加케되리라故로哲學은
[col 09] 宗敎의醫療的價値를負호고益々其腐敗한者를醫療
[col 10] 호며淸新한者를生新케호야宗敎의信仰의範圍擴를張
[col 11] 호는者ㅣ되리라
[col 12] 第四新宗敎는宇宙를中心으로호고同時에또個人을中
[col 13] 心으로호는宗敎가되리라卽人을神으로觀호는宗敎
[col 14] 로神과人을同一體로觀호되人은神의製造한者ㅣ안이
[col 15] 오直接神의表顯이卽人으로觀호는宗敎일지니라그
[col 16] 리호야人乃天的眞理下에서各種의風化와各種의倫理
[col 17] 各種의制度가되리라
[col 18] 以上에述한바와如히新宗敎는由來萬敎를包容호며萬
[col 19] 科學을調和호며萬哲學을先驅로호야天地宇宙의大理想
[col 20] 無有合一의大眞諦로써宇宙에對호면宇宙에合호고個人
[col 21] 에對호면個人에合호야無往不適의八面玲瓏體가될者이
[col 22] 니將來의世界는이러한宗敎下에支配되며人類의精神은
[col 23] 이러한信仰下에서改造되리라
[col 24] 輪回갓치둘인運數
[col 25] 아모리이世上에
[col 26] 塵土中에뭇친玉石
[col 27] 安貧樂道할지만은
[col 28] 時運을論호면
[col 29] 衰運이至極호면
[col 30] 賢淑한諸君들은
[col 31] 三皇五帝聖賢들도
[col 32] 淆薄한이世上에
[col 33] 可憐한世上사람
[col 34] 淆薄한이世上에
[col 35] 흐음업시지내다가
[col 36] 時運이둘엿도다
[col 37] 이世上에創建호니
[col 38] 誰怨誰尤안일넌가
[col 39] 賢人君子ㅣ잇지만은
[col 40] 뉘라서分揀하며
[col 41] 뉘라서指導할가
[col 42] 一盛一衰안일넌가
[col 43] 盛運이잇지만은
[col 44] 同歸一體하엿든가
[col 45] 敬天順天안일넌가
[col 46] 不顧天命한단말가
[col 47] 各自爲心한단말가
[col 48] 不忘其本호여셔라
[col 49] 忽然히生覺호니
[col 50] 萬古업는無極大道
[col 51] 이도亦是運數로다
