# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 敎門訂議
[col 02] 悲壯의風雨에出沒ᄒᆞ엿ᄂᆞᆫ가甲子의慘變은天日이伺愁
[col 03] ᄒᆞ고甲午의霜雪은體肌ᄒᆞ며甲辰의風雲은鬼神
[col 04] 도猶驚ᄒᆞ리로다吾人은如斯ᄒᆞ劉遭難關을踏破ᄒᆞ고僅
[col 05] 히今日의幸福을獲得ᄒᆞᆫ所以ㅣ實로其功德이何에在ᄒᆞᆫ가
[col 06] 勿論天師의冥冥ᄒᆞᆫ陰助下에서天生의美質을賚ᄒᆞᆫ바無疑
[col 07] ᄒᆞ나其實은吾人信徒의泣神의誠力과驚天의努力으로
[col 08] 七顚八起百折千伸의勇力이아니면到底不能ᄒᆞ리라
[col 09] 滿天下同德이여過去ᄂᆞᆫ如斯ᄒᆞ나將來ᄂᆞᆫ如何ᄒᆞᆯ가同德
[col 10] 이여吾人은今日以後에야말로보다以上誠力을發치
[col 11] 아니홈이不可ᄒᆞ며今日以後에야말로보다以上의努
[col 12] 力을加치아님이不可ᄒᆞ니라過去의事ᄂᆞᆫ吾儕의先進이
[col 13] 天誠天職을盡ᄒᆞ야其基礎를鞏固케ᄒᆞ엿거니와今日以
[col 14] 後의事ᄂᆞᆫ吾儕ㅣ直接으로其를解決ᄒᆞ며其를負擔치아
[col 15] 이不可ᄒᆞ니吾儕의將來ᄂᆞᆫ實로太陽의初升이며長江
[col 16] 의初發源이로다
[col 17] 思컨디過去庚申에大神師의一入의覺으로써이만ᄒᆞᆫ
[col 18] 今日이有ᄒᆞ엿스니萬一現在의庚申에處ᄒᆞᆫ吾人으로各
[col 19] 其大神師의大覺의域에達코보면未來庚申에到키以前
[col 20] 에서世界는吾人의大神師의大覺으로되고말니라然ᄒᆞ면人
[col 21] 吾儕ᄂᆞᆫ此庚申을但히庚申으로만思치勿ᄒᆞ고
[next] 
[title] 四、世界와庚申年
[col 24] 大神師ㅣ宜言ᄒᆞ사되니너이ᄂᆞᆫ드르라이世上은堯舜
[col 25] 의治라도足히말치못ᄒᆞᆯ것이오孔孟의德으로도救ᄒᆞᆯ건지
[col 26] 지못ᄒᆞᆯ지니반다시今不聞古不聞今不比古不比의無極
[col 27] 大道로써넬니니蒼生을건질이라ᄒᆞ섯도다吾人은此言을
[col 28] 聞ᄒᆞᆫ以後로눌이갈사록더욱歎服ᄒᆞᆯ바ᄂᆞᆫ大神師의此言
[col 29] 이事實化로되야옴이라思ᄒᆞ라過去庚申으로今日에
[col 30] 至ᄒᆞ기ᄭᆞ지어느듯六十一年의間에世界ᄂᆞᆫ얼마나變
[col 31] 復되엿ᄂᆞᆫ가다구나最近世界大戰이잇슨以後로人世의
[col 32] 모든것이엇마나變遷이되엿ᄂᆞ뇨참으로우리ᄂᆞᆫ精神
[col 33] 開闢을맛보ᄂᆞᆫ中이라우리ᄂᆞᆫ滿足을엇엇지
[col 34] 못ᄒᆞ게되엿ᄂᆞ니우리ᄂᆞᆫ新ᄒᆞ고참된眞理
[col 35] 信仰을要求케되엿도다우리ᄂᆞᆫ아모리ᄒᆞ야도過去
[col 36] 리가지矛盾된敎化偏僻된信仰不合理ᄒᆞᆫ理想에
[col 37] 을엇지못ᄒᆞ게되엿도다우리ᄂᆞᆫ적어도우리ᄂᆞᆫ慰安
[col 38] 世界의大神師의大覺의場에達코보면正大ᄒᆞᆫ理想을엇고져努力ᄒᆞᄂᆞᆫ今日이로다그런디우리
[col 39] 正大ᄒᆞᆫ理想을엇고져努力ᄒᆞᄂᆞᆫ今日이로다
