# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 오로지法門에依信하라
[author] 李敦化
[col 03] 一、有形의結合은無形의結合에서
[col 04] 宇宙라하며世界라함은오로지萬像의結合을이룬것이겟다千態萬形의關係의
[col 05] 關係로써互相連結運動ᄒᆞ는狀態를말한것이라日月星辰이法則에依ᄒᆞ야循環하며草
[col 06] 木群生이本能에依ᄒᆞ야協同하나니하리懸星이地球를衝突치안이함도是宇宙의法
[col 07] 則이오合이오四時가其序를不失함도是地球의法則이오合이오로써그리하야人
[col 08] 은宇宙의法則이그대로의表顯으로其道가되엿는지라百體一意에依ᄒᆞ야命令을從하
[col 09] 고父々子々兄々弟々一血性에依ᄒᆞ야其情意를結하고人人各々家々國々世々가人道와正
[col 10] 義에依ᄒᆞ야共存을圖하나니是一宇宙의大法則이天地人類萬像의間에流行하야스사
[col 11] 로其로써無形의結合을이루게함이로다만일宇宙의間에無形의結合이업다하고보면
[col 12] 彼一一微一妙의物이何故로一系不亂의態를定할것인가吾人은此無形의結合이잇슴
[col 13] 으로써吾人의肉體는비록百年未滿의短期의生活이오슬지라도其法則과敎化는
[col 14] 千古를通하야後代億兆의精神的生活을示케됨이니是點에서吾宗教家된者는모
[col 15] 름직이此法則을體得하야此法則으로써萬代의後世에其範을垂케함이實로吾人今
[col 16] 오로지法門에依信하야
[col 17] 一
