# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 布德天下ᄂᆞᆫ活誠에在하니라
[author] 李敦化
[section_running] 布德天下ᄂᆞᆫ活誠에在하니라
[col 04] 쥰人類가歸하야入合으로써完全ᄒᆞᆫ天道敎이웨다朝鮮二千萬이다自己의敎로하며世界十
[col 05] 六億이다各其天道敎로써完全한時代的이라可信的이라認定하야모두가篤信者가되며世界를
[col 06] 爲하야人族을爲하야此에서더할者ㅣ어대잇겟슴닛가是点에서吾人은動하야天道敎宣傳에
[col 07] 天道敎로써自己의生命과換할것이웨다
[col 08] 힘쓸것이라합니다
[col 09] 天道敎로써自己의生命과換할것이웨다
[col 10] 界建設에努力하며盡職할것이웨다
[col 11] 新入하시ᄂᆞᆫ受敎人諸氏여아직으로써不滿足을處치말고將來의滿足을圖하기爲하야各方面으로天道敎世
[col 12] 擧世ㅣ天道敎에皈를傾하야스며天道敎와親近코자하며天道敎와生死코자하ᄂᆞᆫ氣味ㅣ確實히보임니다活
[col 13] 動하야써布德만하면우리의世界이니二世神師가身을捨하기ᄭᅳ지努力할과갓치吾人도身을捨하기ᄭᅳ지힘쓰고
[col 14] 一、新人이되라
[col 15] 天地間ㅣ모ᄃᆞᆫ活動이다갓치理勢의固然을기다려
[col 16] 壓길이展開되ᄂᆞᆫ것이로다寒함에重를着하고暖함에
[col 17] 輕을衣함이이自然의勢ㅣ안이며渴함에飮을求하고
[col 18] 飢함에食을要함이이必然의理ㅣ안이리오人世의모
[col 19] ᄃᆞᆫ것이다ㅣ因이잇고果ㅣ잇슨然後에이가自然의理
[col 20] 勢에應하야不得已動할데動케되고靜할데靜케되ᄂᆞᆫ
[col 21] 것이라大하야大天星辰小하얀微塵纖芥ㅣ다갓치此
[col 22] 理法에遠越치못하나니라何故로天地人生이며
[col 23] 德이나何故로宇宙이며何故로宗敎道
[col 24] 德이나吾人은此를答할知力이업도다但吾人이確信
[col 25] 布德天下ᄂᆞᆫ活誠에在하니라　　七
