# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[title] 天道敎會月報
[col 02] 一〇
[col 03] 吾人은誠을活用ᄒᆞ는方法으로第四大誡命에對ᄒᆞ여勿
[col 04] 替事를宣言ᄒᆞ노니
[col 05] 一、顚覆之心두지말일이니何人이何事에着手ᄒᆞ던지
[col 06] 其始終을期圖ᄒᆞ야永世不忘萬事知의法則으로進行ᄒᆞᆯ
[col 07] 것이며
[col 08] 二、虛言을하지말일이니萬事一信用으로唯一의資
[col 09] 本을定ᄒᆞ야欺心은卽欺天으로知ᄒᆞᆯ것이며
[col 10] 三、物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 11] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 12] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 13] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 14] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 15] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 16] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 17] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 18] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 19] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 20] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 21] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 22] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 23] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 24] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 25] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 26] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 27] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 28] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 29] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 30] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 31] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 32] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 33] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 34] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 35] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 36] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
[col 37] 에適하되物慾之心두지말일이니萬事一分에應ᄒᆞ고量
