# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 사람性의無窮을論ᄒᆞ노라(續)
[author] 李敦化
[col 03] (특히사랑ᄒᆞ는新同德의게이글을드림)
[col 04] 一、五款은사람性의無窮에達ᄒᆞ는길
[col 05] 누구든지한번天道敎의信仰을알고저ᄒᆞ면먼저呪文十三字라ᄒᆞ는그것이天道敎의中樞的信條인것을깨다라야
[col 06] ᄒᆞ리라敎祖水雲大神師가覺道後에먼저布德의第一要旨로ᄒᆞ신者가卽信仰의第一基礎로ᄒᆞ신者가이곳呪文十三字
[col 07] 이였다니이른바「十三字至極ᄒᆞ면萬卷詩書무엇ᄒᆞ리」云ᄒᆞᆫ一節로보아도넉넉히이를證明ᄒᆞ리만ᄒᆞ다그럼으
[col 08] 로처음으로天道敎에入敎ᄒᆞ는이는안이天道敎를밋는이는누구든지밧듯이呪文을無時로默念ᄒᆞ는것이며써
[col 09] 바서呪文에依ᄒᆞ야天師의感化를엇게되는것이였다그런데呪文을恒常默誦ᄒᆞᆷ이信仰上엇더ᄒᆞᆫ効力이나타나느
[col 10] 냐反問ᄒᆞ면그는言下文으로써그眞趣를말ᄒᆞ기어려운것이오다만닥는者의自證에막길ᄲᅮᆫ이라ᄒᆞ노니故로大神
[col 11] 師가말삼ᄒᆞ샤대「修者는如虛而有實이라」ᄒᆞ엿도다卽呪文의効力은道를닥는者가自體스스로의感化如何를깨닷
[col 12] 게되는것이오道를닥기前에他ㅅ人으로부터먼저呪文의効果가如何ᄒᆞ다證明ᄒᆞ기어려움으로써이다그럼으로나
[col 13] 는우리敎를信仰ᄒᆞ는同德의게먼저天道敎는무슨맛으로밋느냐疑問을이르키기前에무엇보다도먼저呪文을
[col 14] 만히默誦ᄒᆞ라切告ᄒᆞ고십도다萬若呪文을만히일군뒤라도아즉도天道敎信仰의正體를모른다ᄒᆞ면그는처음
[col 15] 으로千言萬語의辯明이잇을것이順序이며그리ᄒᆞ야千言萬語가呪文을만히일운者의게야처음으로眞正의맛을알
[col 16] 게되리라斷言ᄒᆞ노라마음은淸水이니이는一家族이團欒히一場所에모혀안저天師의感化를밧게되는것이라
[col 17] 一家族中에男女老少가多少各其事務는다르며思想知識程度는差違가잇다할지라도누구든지한마암한뜻으로天
[col 18] 사람性의無窮을論ᄒᆞ노라
