# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p5.txt

[section_running] 天道敎會月報
[col 02] 의朝鮮文化도古代에잇서는支那로부터輸入함이多하
[col 03] 엿스나이제로부터는그의反對로朝鮮의宗敎를支那
[col 04] 에逆輸할時運이돌아왓나니吾人은此際에스스로自彊
[col 05] 自貧에自處치말고삼가精神의勇氣를鼓舞ᄒᆞ야大陸
[col 06] 의天地에宗敎的舞蹈를試할時機가到來하엿다할지로다
[title] 三、對外布敎의方策一端
[col 08] 우리가今日ㅣ對外布敎를힘쓰지안이함이不可하며그
[col 09] 리하야그對外的布敎는支那로부터着手함이가장得策
[col 10] 이라할진대우리는此에對하야如何한用意와決心을가
[col 11] 져야할것인가합을一言코저함에際하야吾人은아래와
[col 12] 갓추두개條件을確實히세우지안이함이不可하니
[col 13] 一、在內의敎友가對外布敎의方策으로精神的或은物
[col 14] 質的後援을不怠할것
[col 15] 二、在外하야直接으로布敎에當局者ㅣ된이들이在內
[col 16] 의依賴를再信치말고自進하야獻身的熱誠으로
[col 17] 한가지로入敎치안이하엿슬지라도能히他人의對하
[col 18] 야布敎를開始치안이하는가그리고보면吾人은全朝鮮
[col 19] 人이一般으로敎人이되지안이하엿다하ᄉᆞ리오
[col 20] 개布敎함을蹰躇할理由가잇스리오그럼으로在內의同
[col 21] 胞는只今으로外人의게布敎코저ᄒᆞ는大膽新心
[col 22] 個人의家庭上境遇로써볼지라도吾人이비록父子兄弟가
[col 23] 을內에先히하고外에後에할것이라하면엇지그
[col 24] 갓치人本位의思想으로對한다하면差別이잇지
[col 25] 又吾人의眼目은外國人이나朝鮮人임을勿論하고
[col 26] 今日에在外의布敎는아즉時機尙早라하나니이것
[col 27] 이「아즉朝鮮內地에도吾敎의發展이徹底히되지못한
[col 28] 点이잇슴을不免하나니即在內의兄弟들은恒言하는
[col 29] 바를一言하면在內나在外를勿論하고둘이다한가지
[col 30] 써槪要를일엇다할것이다吾敎의在外發展의始初는
[col 31] 元來ㅣ吾敎人의對外布敎에對한現在思想이如何한가
[col 32] 入敎한以後에야처음으로在外布敎에나아감이可라할
[col 33] 은明白한誤謬이라할지라何故오朝鮮內地의人이全部
[col 34] 것갓호면吾敎의布德天下는其日이尙히遠達라할요
[col 35] 以上두個條件을確立한下에서吾人은內로對外布德
[col 36] 礎는在外로써圖할것
[col 37] 釋自立自主의ᅵ質을치도록努力하야在外의基
[col 38] 在外敎友를엇으며따라서精神的物質的으로純
