# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[section_running] 神觀念의本體
[col 02] 지러라」하심은잇곳왼世上사람으로한울을바르밋
[col 03] 게하며한울의理致를바르게닷게하야서衆生의
[col 04] 모든罪過를根本으로부터拯濟하신말삼이로다
[col 05] 「한울님은바루게밋는道理는먼저한울님은어대던지안이게신곳
[col 06] 이업다밋는것이라」그러하야한울님은대던지안이게신곳
[col 07] 이업다밋는것이라」
[col 08] 한울님의存在는時々刻々으로우리의게그證據를展示
[col 09] 하도다大天星辰이燦然히存在함이그證據이며萬
[col 10] 物의生滅變化가그證據이며더욱이人物의精神狀態
[col 11] 가그證據이로다누구나이宇宙의存在를否
[col 12] 認할수업스며人與物의象生의存在를否認할수업도
[col 13] 다그들의存在가입이眞實性이라할것갓호면그眞
[col 14] 實性의表顯인至氣와至理ㅣ永遠無窮의時空의裡에遍
[col 15] 在하야一切를攝理하고一切를調和하는唯一의普遍性
[col 16] 이잇음을何人이던지否認치못할지라그리하야此唯
[col 17] 一의普遍性은時間으로써分別치못할지며空間으로
[col 18] 써限定치못할지라遠近上下大小巨細의時空을連
[col 19] 耳하야周行循環攝理表彰調和의全知全能
[col 20] 의多力을發揮케하나니一物이即是無限이며一事
[col 21] 가即是無窮이라그럼으로한울님은無所不在하시나
[col 22] 니無窮한時間에그대로存在하며無窮한空間에그
[col 23] 대로存在하신지라萬物이잇는한가지로게시며世界와
[col 24] 한가지로게신지라萬物이잇는한가지로存在하며
[col 25] 는證據이며사람의잇는處所가곳한울님이잇는處所
[col 26] 니라이에서한울님을決코處所를따라차즐것이안
[col 27] 이니먼데도게시며까가운데도게시며먼데
[col 28] 신한울이도로먼데게신한울이며까가운데게신한
[col 29] 울이도로먼데게신한울이시니라萬一한울님을먼데
[col 30] 로부터遠近이업스시나니한울님의處所는本
[col 31] 하야갓가운데를잇는것과먼데한가지로다自
[col 32] 바리고남의집에잇는움물찻는것과한가지로또
[col 33] 家에잇는움물이나남의게잇는움물이맛찬가지로
[col 34] 한울물일진대우리는苟且히먼곳을차즐理가잇스리
[col 35] 오
[col 36] 海月神師쎠서物々天事々天이라하시니이는한울의
[col 37] 無所不在한證據를우리의게일너주신無上의法言이시
[col 38] 니라
[col 39] 「한울님을바루밋는道理는가장갓가운곳에잇다밋드며
[col 40] 그리하야갓가운世界에잇다밋드며더갓가운사람의게
[col 41] 잇음을밋드며第一갓가운나의게잇음을밋더야할것이
