# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 信仰觀念의本體
[col 02] 너良心에善한道德的方面의行爲를攝理코저할時에
[col 03] 惡心이잇는限의에抵抗코저하는心理狀態는우리가慶
[col 04] 々經驗으로써알아보는일이라이에서우리의心理는
[col 05] 三種의自我性을發見할수잇나니
[col 06] 我라할것이오
[col 07] 른하나는이름하야神我라할것이오다시하나는이름하야獸
[col 08] 것은情慾이無規則的으로道德的行爲를犯하고나아
[col 09] 가고저하는行爲니이곳惡이며人我라하는것은情
[col 10] 慾의發動을어느限度에지制限하야我로써사람社
[col 11] 會에잇어가장사람性에서지發揮케하는것이라
[col 12] 그럼으로이善惡의兩分子는恒常ㅣ相對的行爲를取
[col 13] 하야잇나니그럼으로獸我의分量이恒常한人일사록사
[col 14] 람의社會에잇서사람의價値를일홀것이만홀것이오
[col 15] 此에反하야人我의分量이多할사록가장사람의行爲
[col 16] 性이커저나아가는것이라如斯히獸我와人我는恒常
[col 17] 相對的意味에잇는것이나神我라하는것은그러치안
[col 18] 이하야獸我와人我를超越한上에잇어사람의創造
[col 19] 性을賦與하야주며사람의道德性眞實性을崇高케
[col 20] 하는것이라그럼으로神我는곳한울님의全品性을
[col 21] 象徵함이며至仁至慈至愛이며至公至正至平이라
[col 22] 이러한圓滿無缺의德性을가진神我即한울우러
[col 23] 人類의崇高한行爲를命令하며嚴正한道德的規範
[col 24] 과高潔한眞實性과神靈한和平心을此에順하면곳興하
[col 25] 刻々히生動活躍케하는것이라人이此에順하면곳興하
[col 26] 고此에逆하면곳亡하나니禍福盛衰의機가다갓치
[col 27] 此中에潛在하엿으며此間에神秘되엿는것이라
[col 28] 無量光의神我의法性은人類榮光의源泉이며幸福의
[col 29] 根本이되며平和安寧順應의本泉이되야大하얀全
[col 30] 世界全人類의向上를促하고小하얀一個人禍福盛衰의
[col 31] 發展을動케하는것이라이러한神我를從하는者
[col 32] 行을보고는무득그를他로부터施與하는者
[col 33] 或은與奪하는者한울님은決코우리의外界에在하야
[col 34] 誤解이니한울님은決코우리의外界에在하야
[col 35] 의幸榮、禍災의動機를우리의게주는것이오寧히
[col 36] 吾人의內部에在하야內部로부터自動的自發的으로
[col 37] 無爲의間에그의行跡이發露되며自然의中에그의化
[col 38] 育이流行하야가는것이니人이此理를體하야한울님
[col 39] 이偉大한能力을內部로부터스스로體驗하며體認하
[col 40] 며體化하야온몸의靈肉의全體를그의榮光속에넛
[col 41] 치며그의攝理속에더저그로더부러하나이되며
[col 42] 全知全能이며
