# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 天道敎會月報
[col 02] 라그럼으로大宇宙를貫通ᄒᆞᆫ律法이그全體上으로보면
[col 03] 本來로부터圓滿無缺한것이나部分上으로보면恒常不
[col 04] 完全으로부터完全에나아가는거름中에잇나니이에
[col 05] 서宇宙及人間界는모든不完全不徹底不合理의條件
[col 06] 이그대로남아잇게되엿는지라上帝ᅵ이에稱ᄒᆞ야스
[col 07] 스로功이업다ᄒᆞ심은大宇宙大律法이아즉全體上으
[col 08] 로나타나지못하엿음을恨嘆ᄒᆞ심이며그의表顯이圓
[col 09] 宙의大律法은大神師의誕生에由ᄒᆞ야그의表顯이圓
[col 10] 滿히될것이라ᄒᆞᆷ이라다시말ᄒᆞ면「余亦無功」이라ᄒᆞᆷ
[col 11] 은人間界의組織이아즉宇宙의律法에違反ᄒᆞ야罪惡의
[col 12] 分子가이世上에만히잇다ᄒᆞᆷ을이르심이오「生汝世間
[col 13] 하야敎人此法」이라ᄒᆞᆷ은이世上은大神師의가라치
[col 14] 바心法에말미어그의組織이宇宙의律法과融合ᄒᆞ야ᄂᆞ
[col 15] 아가리라ᄒᆞ심이로다그리고한우님은本來ᅵ一人世와
[col 16] 한가지로게신고로人世의成功이곳上帝의成功이오人
[col 17] 世의腐敗가곳上帝의腐敗이니그럼으로功의原則上
[col 18] 規定은한우님의心算인大宇宙의律法에잇으나그러
[col 19] 나그功을이루지못ᄒᆞᆷ은人間의因果律自體에잇
[col 20] 는故로火神師ᅵ스스로써過去時代의不成功을근심
[col 21] ᄒᆞ며大神師라ᄒᆞᆷ은이곳同一한大神師로서前者는神
[col 22] 의意味의大神師시요後者는人의意味의大神師너라
[col 23] 上帝ᅵ大神符에일너말삼ᄒᆞ사되吾의靈符ᅵ으로說ᄒᆞᆯ
[col 24] 靈符「太極」「弓弓」「濟人疾病」「靈符의中不中」을說ᄒᆞᆯ
[col 25] 名은仙藥이오其形은太極이오又形은弓ㅅ이니我의
[col 26] 此符를受ᄒᆞ야人의疾病을濟ᄒᆞ고我의呪文을受ᄒᆞ야人
[col 27] 을敎호되我를爲케ᄒᆞᆫ즉汝ᅵ또한長生ᄒᆞ야德을天下에
[col 28] 布ᄒᆞ리라ᄒᆞ시다
[col 29] 上帝ᄭᅴ서大神師의게傳한道는이믈象徵으로써表ᄒᆞ야
[col 30] 이른靈符라ᄒᆞ엿나니靈符는곳心의象徵이라符는
[col 31] 即信號니靈符의信號는心의外에更히何物도업슬것이라
[col 32] 그럼으로靈符를이름ᄒᆞ야仙藥이라ᄒᆞ니仙藥은몃
[col 33] 不死의藥이라大神師는心을稱ᄒᆞ야不死의藥이라ᄒᆞ시
[col 34] 고曰「腎에不死의藥을藏ᄒᆞ니弓々其形이라」ᄒᆞ시니
[col 35] 又靈符即心을形容ᄒᆞ야太極이라ᄒᆞ시니太極은萬物
[col 36] 生成의本源이라古語에曰太極이雨儀를生ᄒᆞ고雨儀가
[col 37] 四象을生ᄒᆞ고四象이萬物을生한다ᄒᆞ엿으니
[col 38] 極은萬物生成의本源이라그리ᄒᆞ야心이곳太極의本
[col 39] 軆이니古人의말에三界ᅵ오즉마음이며天地는唯心
