# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 信仰觀念의 本體 (續)
[author] 李敦化
[col 03] 神師一驚起하사問하신대曰「世人이나를上帝라云하나
[col 04] 니汝ㅣ上帝를不知하느냐」云하시니이는確實히한울
[col 05] 님과사람을논아보히심이分明하시도다그리고이날의
[col 06] 狀態를다시論學文에일넛으되「外로接觸한氣ㅣ잇고
[col 07] 內로降話의敎ㅣ잇으되視하야見치못하고聽하야도聞
[col 08] 치못한지라」云하셧나니이는確實히한울님과사람을
[col 09] 하나로보히심이로다이理致를다시노래로써發表한
[col 10] 安心歌에일넛으되「空中에잇는듯그래白紙패라分付
[col 11] 하니白紙펴고붓을드니生前못본物形符가조히우
[col 12] 에宛然하다」云하엿나니이는쏘한한울님과사람을
[col 13] 논아보히심이오道德詞에일넛으되「無知한世上사
[col 14] 람아는바天地로되敬畏之心업섯으니아는것이무
[col 15] 엇이며天上에上帝님이玉京臺에계시다고보는
[col 16] 뜻이말을하니陰陽理致始含하고虛無之說안일넌가
[col 17] 中畧僅保家聲歷四十年生布衣寒士豈이아도天理야모
[col 18] 庚申四月五日과한울님의말삼
[col 19] 庚申四月五日은大神師께서無極大道를크게깨다르시
[col 20] 고한울님의全品性을完全히나타내신날이라大神
[col 21] 師께서三十七年間一熱烈한信仰과篤實한硏究에奮
[col 22] 鬪하시다가이날에이르러한울님과사람은곳둘이안
[col 23] 이오그實質에서根本하나이심을깨다르시고降話
[col 24] 로써大宇宙의根本眞理를直覺的으로말삼하셧도다
[col 25] 降話는곳한울님의말삼의記錄이시니그처음은한
[col 26] 울과사람을區別하야말삼하셧나니그繼續는先天
[col 27] 의사람은한울님과사람을논아본證據를드러보히심
[col 28] 이오乃終은한울님과사람을合하야보히셧나니그
[col 29] 繼續는사람이곳한울되는證據를보히심이로다布德
[col 30] 文에일넛으되庚申四月五日에大神師ㅣ草堂에默坐
[col 31] 하시더니문득心身이戰寒하야疾暈發症치못하고言
[col 32] 룰形狀키難할際에仙語ㅣ잇서문득耳에入하거늘大
