# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 宗敎의六大要素
[col 02] 히하며榮華를棄하고安貧樂道에自安함이
[col 03] 치宗敎的犧牲의精神이라할지며
[col 04] 六、仁愛。信仰이漸次一神的偉力을感하면서
[col 05] 으로萬物同根의義를覺하야例하면仁愛의心으로써同
[col 06] 胞를愛하며萬物을育하나니儒敎의仁、
[col 07] 佛敎의慈悲、基督의愛
[col 08] 等다갓치宗敎의仁愛의
[col 09] 精神이니宗敎는此仁愛
[col 10] 의精神에由하야써宗敎
[col 11] 的大感化를此世에與하
[col 12] 는것이라
[col 13] 以上은由來宗敎의素質을一言
[col 14] 하야宗敎構成의根本部分을明
[col 15] 言하엿다그러한데人乃天宗敎
[col 16] 에至하야도마챤가지로그素質
[col 17] 에至하야도以上六種의部分을包容하엿슴은勿論이다然
[col 18] 이나그를信仰하고觀念함에至하야는크게由來宗敎와
[col 19] 其趣가異하나니即由來信仰은此를他力的觀念에付하엿
[col 20] 스나人乃天은此를自力的觀念으로活用하며由來信仰
[col 21] 은此를自己以外의것으로思하나人乃天은此를自己以
[col 22] 다갓內의固有
[col 23] 第一超
[col 24] 觀하면
[col 25] 의實在로思
[col 26] 統으로
[col 27] 力的으로
[col 28] 서人乃天
[col 29] 것이다
[col 30] 第二
[col 31] 人乃天은
