# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 天道敎會月報
[col 02] 모든希望을達코져ᄒᆞ는바이니人乃天主義로서人世
[col 03] 의모든希望을觀來ᄒᆞᆯᄯᅢ는모든것이다갓치因果律에脫
[col 04] 線되논것이업다ᄒᆞ나니善因善果惡因惡果는宇宙外
[col 05] 法則이라그림으로人이自己의希望을達코져ᄒᆞ면어대
[col 06] 까지던지自力으로써人性의無限伏能에歸依ᄒᆞ야因
[col 07] 果의法則을創造함이곳人乃天主義의要領이다人은因
[col 08] 果律에依ᄒᆞ야無限伏能의源泉을日一日開拓함으로
[col 09] 써幾多希望의到達目的을삼음이곳宗敎的最新의努力
[col 10] 이라할지며
[col 11] 第二敬虔의念을人乃天의觀念으로觀ᄒᆞ면是一
[col 12] 自重의意니人性에임이無限伏能의德性이潛在함을
[col 13] 知한以上은비록一分一秒의間이라도自身을輕치못
[col 14] 할것이며自己를忽待치못할것이다모름즉이自敬自誠
[col 15] 自信의力으로써自己의無量廣大한伏能性을啓發치아니
[col 16] 함이不可할것이다
[col 17] 第四救濟의信念을人乃天의觀念으로觀ᄒᆞ면
[col 18] 人乃天에서는어대까지던지自己로써自己를救하며自
[col 19] 己로써自己를判斷ᄒᆞ는主義니卽自己의偉大한伏能性에
[col 20] 依ᄒᆞ야人性現在의弱點을除却하고自力으로無限向上進
[col 21] 化를圖ᄒᆞ는것이며
