# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[section_running] 敎理部
[col 02] [상단부]
[col 03] 間萬種愁는實로萬魔來都喪侵이니天으
[col 04] 로써魔를幻ᄒᆞ며無로써有를幻ᄒᆞ며靈으
[col 05] 로써質를幻ᄒᆞ며通으로써塞을幻ᄒᆞ야於
[col 06] 是焉一肉塊而已라故로大神師끠셔工夫
[col 07] 의程度를論ᄒᆞ사딕魔的有的質的塞的意
[col 08] 諸腦를改鍊ᄒᆞ야天을修ᄒᆞ며無로써鍊ᄒᆞ
[col 09] 며靈으로써明ᄒᆞ며通으로써達ᄒᆞ면君子
[col 10] 의門으로自ᄒᆞ야一朝豁然의法位에登ᄒᆞ
[col 11] 나니엇지欽歎ᄒᆞᆯ바아니리오ᄒᆞ시니라
[col 12] 一世之人各自爲心
[col 13] 或이問曰有亦天無亦天이라ᄒᆞ고物物天
[col 14] 事事天이라ᄒᆞ니此ᄂᆞᆫ天外에一物도無ᄒᆞ
[col 15] 을指論ᄒᆞᆷ이라然則在淸이라도天이오在
[col 16] 濁이라도天이며天으로天을交涉ᄒᆞ거며天
[col 17] 으로天을慾望ᄒᆞ며天으로天을對ᄒᆞ거늘
[col 18] 何者가善何者가惡이라ᄒᆞ며又其心이各
[col 19] [하단부]
[col 20] 岐ᄒᆞᆷ은何故인고曰然ᄒᆞ다宇宙萬象이其
[col 21] 數가實로無限ᄒᆞ되其原은一也니二者ᄂᆞᆫ
[col 22] 理也며理者ᄂᆞᆫ天也라故로物性各體를主
[col 23] 觀ᄒᆞ면何者가非天也리오만은但種門的
[col 24] 世緣으로組織關係에依ᄒᆞ야高的低的美
[col 25] 的醜的森的穹的曲的直的大的小的形
[col 26] 体가各殊ᄒᆞ니此所謂氣質之品이不同이
[col 27] 라是로써比較와秤量心이生ᄒᆞ니曲者에
[col 28] 對ᄒᆞᆫ直者와大者에對ᄒᆞᆫ小者가엇지理性
[col 29] 이異ᄒᆞᆫ비리오만은不可易的의組織에依
[col 30] ᄒᆞ야理ᄒᆞᆫ바性을逐ᄒᆞ야形ᄒᆞᆫ바質을各遂
[col 31] ᄒᆞ니此乃各心의原動力이라故로聖人이
[col 32] 敎人ᄒᆞ실ᄉᆡ氣質의差異와組織의異同을不
[col 33] 問ᄒᆞ고通有ᄒᆞᆫ바性을擧ᄒᆞ야通有ᄒᆞᆫ바天
[col 34] 에合케ᄒᆞ나니盖各心의致ᄂᆞᆫ物慾에在ᄒᆞ
[col 35] 고物慾心이慾됨은社會自体가造化ᄒᆞᆫ비
