# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[title] 還不求而修我
[author] 宋啓源
[col 03] 慈眼愛腸으로브터出ᄒᆞᆫ古代의各宗敎가天下
[col 04] 國의未來를想望ᄒᆞ고現世를盡ᄒᆞ고과同一ᄒᆞᆫ
[col 05] 視覺이不可커던況黃金爵祿인들故로我의機
[col 06] 械ᄂᆞᆫ社會던지天地萬有
[col 07] 이던지伴吞ᄒᆞᆫ或吻이有
[col 08] ᄒᆞ니浩然의靈氣가覆載
[col 09] 의間에溢ᄒᆞᆫ을得ᄒᆞ지로
[col 10] 다
[col 11] 야上下古今과往古來今을親ᄒᆞᆫ旣存大機
[col 12] 와未存ᄒᆞᆫ境이瑩然明暗ᄒᆞ야造化無窮之神
[col 13] 機와陰陽運用之靈識이總是在我로다皇熙
[col 14] 乾坤에上下四方이
[col 15] 莫非我之處所也며
[col 16] 宇宙古今에盛衰彌
[col 17] 福이莫非我之招擧
[col 18] 也로다脫舊我而得
[col 19] 新我ᄒᆞ며執性眞而
[col 20] 用天能도都是在
[col 21] 我之修我也니라
[col 22] 天人이無二라有無
[col 23] 形의分이오一体二
[col 24] 惟人은理氣合格者라理
[col 25] 其理而神於神ᄒᆞ야理爲
[col 26] 性我ᄒᆞ며形其形而氣於
[col 27] 氣ᄒᆞ야氣爲身我ᄒᆞ니理者ᄂᆞᆫ天地未分前泰
[col 28] 一之元性我오氣者ᄂᆞᆫ陰陽風雨晦明六氣之
[col 29] 元精我로다我의性分內固有ᄒᆞᆫ慧眼을試ᄒᆞ
[col 30] 位의別이로다雖然이나慧眞이爲滓濁所汙
[col 31] ᄒᆞ야口以聲色臭味로求其耳目之所欲而不
[col 32] 以性身長存으로爲其眞樂이면性不需身而
[col 33] 一一
[col 34] 敎理部
