# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p5.txt

[section_running] 敎門訂議
[col 02] 흠일지며그리ᄒᆞ야貧者의實力과權利를增進케ᄒᆞ면不可不富者의實力의一
[col 03] 部를相當ᄒᆞᆫ方式下에셔貧者에讓頭ᄒᆞ여야ᄒᆞᆯ것이라即貧富의人格을一視同仁ᄒᆞ는下에
[col 04] 셔道德的慈悲的觀念으로兩者의極端ᄒᆞᆫ差別을幾分調和케ᄒᆞᆯ것이일것이로다
[col 05] 以上에述ᄒᆞᆫ과갓치世界現代의思潮가人道의實現으로目的을삼으며ᄯᅡ라셔其의標準
[col 06] 은人乃天이되며其의方針은事人如天이될지댄富ᄒᆞᆫ者ㅣ獨히其富를憑ᄒᆞ고도亦人을賤
[col 07] 待ᄒᆞᆷ은是人道의背反일것이며貧ᄒᆞᆫ者ㅣᄯᅩᄒᆞᆫ其貧에自暴ᄒᆞ야不勞自得코저ᄒᆞᆷ도亦人
[col 08] 道의勃戾라ᄒᆞᆯ지니富者의道德的慈善的槪念과貧者의克己的活動을調和ᄒᆞ야
[col 09] 兩者間差別을天이죽ᄒᆞ는最高理想的平等標準下에셔解決케ᄒᆞᆷ이是今日의最先急務
[col 10] 가안이랴
[col 11] 大神師ㅣ曰「너이라무삼運數不勞自得ᄒᆞ단말가」ᄒᆞ셧스니이는人類의勞動을神
[col 12] 聖히觀ᄒᆞᆫ것이며그리ᄒᆞ야一切의人類가다갓치勞ᄒᆞᆫ後에得ᄒᆞ라敎訓ᄒᆞ심이로다
[col 13] 思컨대吾人의過去는理性의要求에는甚히不思議의中에잇셔왓도다即過去社會의
[col 14] 最大缺点은努力無視이엇나니詳言ᄒᆞ면過去의社會는不勞ᄒᆞ고도自得ᄒᆞ는者ㅣ잇셧스
[col 15] 며勞ᄒᆞ고도所得이無ᄒᆞᆫ者ㅣ잇셧도다千金의子는一指를不動ᄒᆞ고도飽ᄒᆞ야死케되
[col 16] 고窮巷의氓은勞々ᄒᆞ여도飢ᄒᆞ야死케ᄒᆞ고이實로過去社會의ᄒᆞᆫ罪惡이엇도다
[col 17] 이를萬一人乃天의大經에對照ᄒᆞ고보면뉘ㅣ一嘆이업셧스랴
[col 18] 玆에吾人은世界를一家로ᄒᆞ고萬族을一巳로觀ᄒᆞᆫ下에셔事人如天主義를宗敎的立
