# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[title] 年齡論
[col 02] 活潑如히表面되나然이나實際는決코不然하니라
[col 03] 幼少의生活도大體로新鮮淸爽하야感覺이아즉未鈍
[col 04] 未銳한中間에存在한故로見聞覺知의그대로事物의本然
[col 05] 眞相을直覺하야써曲解偏執의觀念이稀少하니라故
[col 06] 로幼少의限界는一物一事各其種屬을代表하야單個의
[col 07] 活動이千萬의境遇를代表하다가年齡이加함과同時에
[col 08] 此意味가漸次減하는故로老少各其의感覺印象에差違
[col 09] 不齊를生케하나니即少年이睹하는世界와老年이觀하
[col 10] 는世界가全히同一치안이함에至하나니라
[col 11] 그림으로幼少의見聞은後日「認識經驗의標本이되
[col 12] 며題目이되나니換言하면後日-硏究의範疇가되는것
[col 13] 이엿다老壯의見聞覺知하는바는畢竟컨대此範疇에隷
[col 14] 屬한零碎破片됨에不過하니라
[col 15] 然하면幼少時代에서旣히宇宙人生觀의基礎가生하
[col 16] 엿는데老壯의生活은此를敷衍하며完結함에不過할뿐
[col 17] 幼少는我欲의念이아즉未盛한故로公平한客觀的思想
[col 18] 을有하고認識의生活을得키易하나니是一「라화-엘
[col 19] 이」天使를描寫함에幼少의兒童를描範한所以이엿다
[col 20] 斯와如히幼少는極히眞面目으로써事物에對하며事
[col 21] 히直覺的觀察에順從함에不拘하고他의方面에서는更
[col 22] 히人爲的으로理解力을注射하나니抑注射的理解力는
[col 23] 事物의本然自體를理解키難한것이라何故오하면天地
[col 24] 萬物의眞相은吾人自己의先天的直覺이안이면見證치
[col 25] 못하는것임으로써니라
[col 26] 吾人의知力은道德의價値와如히外界로부터來하는
[col 27] 者-안이오內界로부터出하는者니如何히巧妙한敎育
[col 28] 者일지라도白痴를賢者되게함이不能하니라
[col 29] 幼少時代에在한境遇와經驗이永久히記憶에止하야
[col 30] 一切의行動이된다함은上述과如한理由에서出하는者
[col 31] 니即感覺印象이純淨爽銳하야散亂騷動의憂가少하며
[col 32] 事物을觀察함에單純함으로써다此에反하야志性은我
[col 33] 欲에司配하는바되야散亂騷動의憂-多함으로써感覺
[col 34] 은雜礪하고印象이遲鈍하나니라
[col 35] 凡天地萬物의客觀的自性自然實相은元來-愉快한
[col 36] 者니라花는紅柳는綠鳥는戾天魚는躍淵山川草木
[col 37] 이其所를得하야皆快哉의本性이有하나然이나만일我
[col 38] 欲의觀察로써此에對하면世界는곧苦가되며人生은
[col 39] 甚히可恐할만한魔性이이케되나니此主觀的世界는畢
[col 40] 竟컨대年齡에比例하야苦痛恐懼의度를加하나니幼少
[col 41] 는比較的公平한客觀的思想을有한故로萬物의自性愉
