# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 사람性의無窮을論하노라
[col 02] 子가集合ᄒᆞ야大하고重ᄒᆞᆫ者는中央으로부터小하고輕ᄒᆞᆫ者는周圍로부터此에一圓을成ᄒᆞ니此를世界라名ᄒᆞ였
[col 03] 다그리ᄒᆞ야空間은無限ᄒᆞᆫ데其中에在ᄒᆞᆫ原子도또한無限ᄒᆞᆫ즉從ᄒᆞ야無限의圓體無數의世界를造ᄒᆞᆫ者이라ᄒᆞ였다
[col 04] 二、하-씨엘、은일니스되宇宙天體의間에無數의天體卽星辰의轉變暎發ᄒᆞ는狀態는恰然히森林의狀態와相
[col 05] 似라ᄒᆞ였나니그는思ᄒᆞ되吾人이森林의中에入ᄒᆞ야四邊을顧ᄒᆞ면土上에는植物의種子가처음으로發芽ᄒᆞ는者도
[col 06] 有ᄒᆞ며또는發嫩ᄒᆞ야아즉生育치못ᄒᆞᆫ者도잇스며또는亭々히天空을摩ᄒᆞ는大木도有ᄒᆞ며又或枯凋ᄒᆞᆫ者도有ᄒᆞ야
[col 07] 千萬萬像榮枯盛衰人間의凋落繁榮과不異ᄒᆞᆫ者是天體의狀態라ᄒᆞ였다又最新進步ᄒᆞᆫ學說인
[col 08] 三、헷-켈氏는宇宙論을發表ᄒᆞ야曰一、宇宙는永久、無限、無際ᄒᆞ니라二、宇宙의本體는物質과力의二屬
[col 09] 性이有ᄒᆞ야無限의空間에滿ᄒᆞ며永久의運動을作ᄒᆞ나니라三、此永久運動은連續不斷의進化인데生으로부터
[col 10] 死發達로부터退化라ᄒᆞ는定期的變化를作ᄒᆞ면서無限의時間에存在ᄒᆞᆷ四、空間에彌滿ᄒᆞᆫ「에데루」中의無數
[col 11] 物體는皆同一ᄒᆞᆫ本體律에服從ᄒᆞ나니卽空間의一部分에잇서循環ᄒᆞ는一物體가從容히破壞分離ᄒᆞ야가면서잇
[col 12] 合과共히他의一部에在ᄒᆞᆫ物體는徐々히進化의新生命에向ᄒᆞ면서잇다五、我遊星系의太陽도또한上述과如히
[col 13] 終에破壞할만한物體의一인데我地球도또한如斯히無數存在ᄒᆞᆫ太陽界의須臾의一星에不過ᄒᆞ니라
[col 14] 以上은大概-宇宙創造說의古今觀이였다如斯히吾人은宇宙의創造를人格的上帝의全知全能이라할수업도다卽
[col 15] 宇宙는現今學說의一般共認ᄒᆞ는바와갓치永久無限無際會의者로此에物과力의二屬性이有ᄒᆞ야永久의進化運動
[col 16] 을繼續ᄒᆞ는間에玆에生滅變化가起케된다信할外에他道가업도다然ᄒᆞᆫ데玆에重大히記憶할一事는宇宙가如斯히
[col 17] 無始以來-永久無限히進化를繼續ᄒᆞ는間에玆히저못할一大事實은人類라稱ᄒᆞ는高等動物이結局今日의宇宙에
[col 18] 存在ᄒᆞᆫ所以니人類는實로大宇宙의進化運動에最終進化의結晶體라할지며그리ᄒᆞ야此事實은何人이든지否認치
[col 19] 못할事實이라할지로다何故오ᄒᆞ면如何ᄒᆞᆫ神話的寓言이라할지라도人으로써萬物中最終으로生ᄒᆞᆫ者라ᄒᆞᆷ을
[col 20] 見ᄒᆞ면人類가宇宙의間에가장進化ᄒᆞᆫ動物임은默認치아니할수업나니基督敎의神話에도上帝가一切의物을造ᄒᆞᆫ
[col 21] 後에終에男女二人을創造ᄒᆞ였다ᄒᆞᆷ은是人을指ᄒᆞ야宇宙의間에最終進化의物이라가라침이니但此에는宇宙의間
