# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 永久之愛妻
[author] 夜雷
[section_running] 雜俎
[col 04] 昔者印度에有擧妻四人者ᄒᆞ니一日小湖ㅣ頗有美色而
[col 05] 薄情ᄒᆞ고二日安讓이니別有親和之力ᄒᆞ야一見에特有
[col 06] 難離之情ᄒᆞ고三日智囊이니多知多謀ᄒᆞ야一問에無不
[col 07] 敗之事ᄒᆞ고四日眞如ㅣ니無色無知無謀ᄒᆞ되其性이
[col 08] 眞如故로謂之眞如ᄒᆞ더萬金之富와四人之妻는人生之
[col 09] 大福也라然而福不長ᄒᆞ고一朝臥病ᄒᆞ야殆無一縷
[col 10] 之生脉이라死는惟或難避之理어이와最所愛痛者는
[col 11] 四人之妻니我死之后에四人者ᆞ未知爲誰家之掌玉고ᄒᆞ
[col 12] 念到此에實是難忍이로다於是에呼小湖而謂曰君之
[col 13] 我에特異於三人ᄒᆞ니君爲我而或有同伴乎否아曰我之
[col 14] 이伺玉이오我運이伺火어니奈之何從子而爲地下之[?]
[col 15] 平아子病之曰에我心이旣决ᄒᆞ고我行이旣定ᄒᆞ니
[col 16] 此去이라ᄒᆞ고遂出門而去어늘乃呼安讓而問之ᄒᆞ니
[col 17] 子在之曰은我爲子之病ᄒᆞ야扶養之着護之어니와至
