# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 연문(演文)
[col 02] 이아닌가우리교의종지가사람이한울
[col 03] 이라ᄒᆞ는것도이리치에지나지아니ᄒᆞ니
[col 04] 곳너의정신은터우듀터삼천세계의정
[col 05] 신과혼가지정신이라만일너정신을따
[col 06] 로떼여쓰지말고우듀만물의정신과합
[col 07] ᄒᆞ야응용ᄒᆞ면그사람은즉혼울이니그
[col 08] 런고로터신사ᄂᆞᆫ사람이아니오곳한울
[col 09] 이며허월신사ᄂᆞᆫ사람이아니오곳혼섯
[col 10] 이며성사ᄂᆞᆫ사람이아니오곳한울이시
[col 11] 니한울의정신을터신사가쓰시고터신
[col 12] 사의정신을허월신사가쓰시고허월신
[col 13] 사의정신을우리성사께서쓰시는바라
[col 14] 고로우리가만일성사의심법을바다혼
[col 15] 갓치쪼차나가면우리도또혼한울
[col 16] 이될것이니라그런터우리가도를닥가
[col 17] 나아가다가다가한울이되얏는가즉
