# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_11_p6u.txt

[title] 敎門訂議
[col 02] 業家의人物됨을勿論ᄒᆞ고其創業의當初에際ᄒᆞ야是等
[col 03] 難境을經過치아니ᄒᆞ者ㅣ無ᄒᆞᄂᆞ니是盖世의批評의位
[col 04] 置에在ᄒᆞ者ㅣ進化의眞理를莫視ᄒᆞ고太半因襲의主觀
[col 05] 으로其人物을評ᄒᆞᆷ으로써라又眞人物은其色身上의動
[col 06] 作보다其內面의神秘ᄒᆞᆫ精神活動이優勝ᄒᆞ故로從ᄒᆞ
[col 07] 야直接其色身의動作에依ᄒᆞ야其時代의模範을作ᄒᆞᄂᆞ니
[col 08] 보다不思議의靈力의活動에依ᄒᆞ야求來의信仰을博得
[col 09] ᄒᆞ이多ᄒᆞᄂᆞ니故로古來賢哲이其生時에在ᄒᆞ야多大의
[col 10] 非難을受ᄒᆞᄂᆞ바는世人이通常其人物의色身을認ᄒᆞᄂᆞ點
[col 11] 이無形靈力을服ᄒᆞᄂᆞ點에서優勝ᄒᆞᆷ으로써라昔에釋迦
[col 12] 牟尼가大覺의後에生佛의名譽가一世를風靡ᄒᆞ미理想
[col 13] 에富ᄒᆞ印度人民은此生佛되ᄂᆞᆫ釋迦를面謁코져ᄒᆞ야日
[col 14] 로其門에踵至ᄒᆞ者ㅣ幾千으로算ᄒᆞ엿더라然이나其
[col 15] 多數人은一度ㅣ釋迦를對ᄒᆞ後에ᄂᆞᆫ皆非疑ᄒᆞ其非疑의念을懷ᄒᆞ고
[col 16] 歸ᄒᆞ엿ᄂᆞ니釋迦의色身이沒ᄒᆞ後에ᄂᆞᆫ其非疑의者ᄭᅥ지
[col 17] 도釋迦야말로眞佛이라評ᄒᆞᆷ이此를
[col 18] 評ᄒᆞ되釋迦의生時ᄂᆞᆫ人이恒常釋迦의色身을見ᄒᆞ고其
[col 19] 法身을不見ᄒᆞ엿고旣히其色身이沒ᄒᆞ後ᄂᆞᆫ色身을不見
[col 20] ᄒᆞ고法身을認識ᄒᆞ에至ᄒᆞ理라ᄒᆞ엿스니果然ᄒᆞ다眞人
