# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 敎門訂議
[col 02] 처안임이不可ᄒᆞ며一般淸意의閒을偸ᄒᆞᆷ과同時에獨坐冥
[col 03] 想의眞을昧ᄒᆞᆷ이可ᄒᆞᄂᆞ니處世方法도亦斯와如ᄒᆞ야樂이
[col 04] 有ᄒᆞ時ᄂᆞᆫ能히取ᄒᆞ야其樂을自樂ᄒᆞ며若가有ᄒᆞ時ᄂᆞᆫ能히
[col 05] 善變ᄒᆞ야其樣에罹흠지어다그리ᄒᆞ야苦樂을共忘ᄒᆞ고死
[col 06] 活自在興否縱橫의大修養의人이되지안님이不可ᄒᆞ며出
[col 07] 入自在、動靜自由의士가되지아님이不可ᄒᆞ도다
[col 08] 就思ᄒᆞ야此世ᄂᆞᆫ如何히擾亂ᄒᆞᆫ가風水火土의四大灾變이
[col 09] 有ᄒᆞ며眞別軆旨의憎惆이有ᄒᆞ며그리ᄒᆞ야生老死病의四
[col 10] 大苦痛이尾聯ᄒᆞ엿도다然ᄒᆞ吾人이此擾亂無常의世波의
[col 11] 中에處코저ᄒᆞᄂᆞᆫ唯一武器ᄂᆞᆫ單々無他의六尺肉塊뿐이며
[col 12] 唯一指導者ᄂᆞᆫ寂々無形의一片心靈뿐이라吾人은雖千歲
[col 13] 의壽를懷치안코저ᄒᆞᆯ可得ᄒᆞ랴
[col 14] 試ᄒᆞ야此에對治方法을具軆的으로賢明ᄒᆞ讀者諸位의前
[col 15] 에反問코저ᄒᆞ노라
[col 16] 若諸位의前에不意의天灾가有ᄒᆞ엿다ᄒᆞ면諸位ᄂᆞᆫ此를如
[col 17] 何히處置코저ᄒᆞᄂᆞᆫ가、最愛ᄒᆞᆫ妻子를夭折ᄒᆞ엿다ᄒᆞ면諸
[col 18] 位ᄂᆞᆫ此를如何히處置ᄒᆞ랴、正ᄒᆞᆫ名譽實ᄒᆞᆫ權威를失ᄒᆞ엿
[col 19] 다ᄒᆞ면貴ᄒᆞᆫ財寶、高ᄒᆞᆫ富貴를失ᄒᆞ엿다ᄒᆞ면諸位ᄂᆞᆫ此를如
[col 20] 最貴ᄒᆞᆫ生命을失ᄒᆞᆯ境遇을當ᄒᆞ엿다ᄒᆞ면諸位ᄂᆞᆫ此를如何
