# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 敎門訂議
[col 02] 失盛衰成敗利害等一變化를對ᄒᆞᆯ時마다我慢물去ᄒᆞ며我
[col 03] 爲물棄ᄒᆞ고公平ᄒᆞᆫ意雅量으로ᄡᅥ此에對ᄒᆞᆯ것이可ᄒᆞ도다
[col 04] 四、天人合一의極致的修養、以上에述べ宮과如히人이世
[col 05] 에處ᄒᆞ는道는先히愛慾에離ᄒᆞ야無常苦無我等의正偶像을
[col 06] 破ᄒᆞ야正見을得ᄒᆞ며雅量을用ᄒᆞ야安分知足을得ᄒᆞ지
[col 07] 너然ᄒᆞ면吾人은一日이라도實로世界에在ᄒᆞ야能히落樂
[col 08] 에遊ᄒᆞ는快樂을得ᄒᆞ지못ᄒᆞᆯ然이나是는아직消極的인慰
[col 09] 安方法에不過ᄒᆞ니人若一實로透徹ᄒᆞᆫ修養을要코저ᄒᆞ면
[col 10] 以上의三過程으로ᄡᅥ其司終에吾敎의天人合一의境限에入
[col 11] 지아니ᄒᆞ고는不可ᄒᆞ도다
[col 12] 天人合一이라ᄒᆞᆷ은人의小靈精神이天의大精神과符合ᄒᆞ
[col 13] 물意味ᄒᆞᆷ이니元來人은小分天이라故로人은修養에依
[col 14] ᄒᆞ야能히法身의活動으로ᄡᅥ州大千世界에干涉ᄒᆞ리라ᄒᆞᆷ
[col 15] 人은吾人의體로ᄡᅥ히一毛의刺戟과一髮의運動도能히感
[col 16] 覺ᄒᆞ야此물制裁ᄒᆞ며防禦ᄒᆞ나니此는吾人의體內에一片
[col 17] 小分天이歸宿ᄒᆞᆫ故로此天이能히身全體물干涉ᄒᆞᆷ으로州
[col 18] 畔此理에由ᄒᆞ야吾天이能히大天에融合一致ᄒᆞ면天地宇宙
[col 19] 宙가卽히其人의全體가되나니故로其人의精神은三千玉
[col 20] 機의裡裡에歸宿ᄒᆞ야同時에億万鑽井의中에活躍ᄒᆞ야一切
