# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 敎門訂議
[col 02] 度、乃至佛對耶者態度가滔々皆然ᄒᆞᄂᆞ니是ᅳ實로自家
[col 03] 擅着에不過ᄒᆞ者쑨玆에不信ᄒᆞ者보다도或은他物을信ᄒᆞ니
[col 04] 信홈에依ᄒᆞ야其量不信ᄒᆞ者보다도或은他物을信ᄒᆞ니
[col 05] 다도彼의生活이ᅳ層善히統ᅳ되며ᅳ層多大ᄒᆞ慰安을得
[col 06] ᄒᆞ엿다ᄒᆞ면其老婆에對ᄒᆞ야ᄂᆞᆫ木石의信仰이最眞正、最
[col 07] 權威의信仰일지라 局外者로觀ᄒᆞ면此와如ᄒᆞ迷信이更
[col 08] 無ᄒᆞᆯ지나其老婆에對ᄒᆞ야ᄂᆞᆫ唯ᅳ眞正의信仰일지라何者
[col 09] 오老婆가木石의信仰으로ᄒᆞ야寄特의功德과有益의慰安을得
[col 10] ᄒᆞ야彼의經驗을組織ᄒᆞ며彼의生活을統ᅳᄒᆞᄂᆞᆫ故로老婆
[col 11] 對木石之信仰은直히彼의宇宙觀及人生觀을搆成ᄒᆞᄂᆞᆫ重
[col 12] 大ᄒᆞ要素가됨으로써라•
[col 13] 若ᅳ此老婆의心理로쎳히木石에對ᄒᆞ彼의信仰力을取去
[col 14] ᄒᆞ면彼의宇宙觀及人生觀이란者ᄂᆞᆫ大ᄒᆞ變化를受ᄒᆞᆯ뿐아
[col 15] 니라或은全히破壞될者아닌가
[col 16] 以上은各種信仰의價値의批判은何時든지當人의活動及
[col 17] 興味를本位로定치안ᄂᆞ면不可ᄒᆞ所以를畧述ᄒᆞ엿도다然
[col 18] ᄒᆞ면大體上으로正信迷信의區別은全然不成立이라ᄒᆞᆯ가
[col 19] 反問ᄒᆞ면是ᄂᆞᆫ決코不然ᄒᆞ나雖不然이라云ᄒᆞᆯ지라도亦是
[col 20] 此ᄂᆞᆫ普通의批判ᄒᆞᄂᆞᆫ標準은當人의活動及興未[?]에[?]
