# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 牧理部
[col 02] 가新舊宗教의運營의第一機會이며
[col 03] 乙、個人의信觧와敎會信條가互相矛盾ᄒᆞ는事敎會의
[col 04] 信條는儼然히天啓와如히信徒의間에思尊ᄒᆞ는바이나原
[col 05] 來其信條가進化今日의人心行爲와到底相和치못ᄒᆞ는理觧
[col 06] 가有ᄒᆞᆫ즉一個個人의信觧는玆에疑懼가生ᄒᆞᄂᆞ니卽如何ᄒᆞ야
[col 07] 敎會의管理者일지라도其行爲와信條는不知不識間相違
[col 08] ᄒᆞᆯ點이屢生ᄒᆞ야局外者에게其嫌隙을窺測될뿐만아니오
[col 09] 敎會自己도亦是多少의懷疑가無치안코나중에至ᄒᆞ야ᄂᆞ니此
[col 10] 는時勢의所使이며運勢의所然이라此는個人의信觧와敎
[col 11] 會信條가互相矛盾ᄒᆞ는新舊宗教運營의第二機會이며
[col 12] 乙、敎俗兩者間의衝突由來宗教는大槪敎俗의區別이
[col 13] 甚ᄒᆞ야敎는俗을觀ᄒᆞ되天間의預證者로知ᄒᆞ며俗은敎를
[col 14] 觀ᄒᆞ되迷信의宣傳者로惡評ᄒᆞ야兩者의間에隱然히一大
[col 15] 敵國의感이生ᄒᆞ얏도다其故는這間에多數原因이玆에伏
[col 16] 在ᄒᆞ엿스나大体는敎俗의時運差違의觀念에生ᄒᆞᆫ者이니
[col 17] 前者는아즉古風의彼岸을憧憬ᄒᆞ고後者는已知新
[col 18] 의時運에沉流不息ᄒᆞᆷ에서生ᄒᆞᆫ바니是가敎俗兩者의衝突
[col 19] 되는新舊宗教運營의第三機會이엇섯다
[col 20] 玆에吾人은告白ᄒᆞ노라信仰界에對ᄒᆞ야變遷을哲學은如何
[col 21] 히化量理辨ᄒᆞ며科學은如何히剖析ᄒᆞ고其
