# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 니故로社會의中에서圓滿ᄒᆞᆫ幸福의感想을得ᄒᆞᄂᆞᆫ所以
[col 03] 눈即前述ᄒᆞᆫ協力이라는場合에서利己心의半分을除ᄒᆞ야
[col 04] 써利他의行爲를並行ᄒᆞᆷ이相實行ᄒᆞᆷ에서發生ᄒᆞᄂᆞᆫ바라此에從ᄒᆞ
[col 05] 야觀ᄒᆞ면利己心과利他心은先天的으로吾人의天性의中에
[col 06] 예並行發達ᄒᆞᆫ利他行爲로或온曰利他心의變體
[col 07] 라ᄒᆞ야啣聖ᄒᆞᆫ利他行爲로써惡魔의坑에將入케ᄒᆞᆷ과如ᄒᆞᆷ
[col 08] 온實로大ᄒᆞᆫ還憾이라ᄒᆞ리라
[col 09] 彼小兒를見ᄒᆞ다아모同情이며아모社交도不知ᄒᆞ난者가
[col 10] 大人의泣笑을見ᄒᆞ면忽然히從ᄒᆞ야泣ᄒᆞ며笑ᄒᆞᆷ을見ᄒᆞ면
[col 11] 忽然히從ᄒᆞ야笑ᄒᆞᄂᆞ니小兒의泣과笑로써人의게同情ᄒᆞᆷ
[col 12] 온其가곳人類의先天的本性인디小兒의泣과笑는即長ᄒᆞ
[col 13] 안利他心이될바張本이니라
[col 14] 然ᄒᆞ면論ᄒᆞ블必要도업시利他心은利己心과其히社會生活
[col 15] 을構成ᄒᆞᆫ딕此心이化ᄒᆞ야諸般人間社會의美德
[col 16] 이되ᄂᆞᆫ것이라ᄒᆞ며曰慈悲心이라ᄒᆞ며曰仁愛心이라ᄒᆞ며曰公
[col 17] 共義務라든지曰人道問題라든지가畢竟인딕此利他心에
[col 18] 關係치안ᄒᆞᆫ者殆無ᄒᆞ도다
[col 19] 試ᄒᆞ야吾人은公平ᄒᆞᆫ良識下에서一考치안이치못ᄒᆞᆯ問題
[col 20] 눈即人이我의게利케ᄒᆞᄂᆞᆫ바多ᄒᆞ냐我가人에게利케ᄒᆞᄂᆞᆫ
[col 21] 바多ᄒᆞ냐煩言ᄒᆞ면我가人의便利를受ᄒᆞᄂᆞᆫ바多ᄒᆞ냐人이
