term,series,date,title,journal_page,unit,col,char_pos,engine_agreement,context_left,match,context_right,grade,verified
人乃天,2,1911-04-15,信念의 神聖,27,unit_3_p2l,10,5,both,大ᄒᆞ者는,人乃天,의定義를說破ᄒᆞ고自天을,합의,
人乃天,9,1911-12-15,運命說,31,unit_6_p3l,02,4,both,取ᄒᆞ며,人乃天,의定理를覺破ᄒᆞ야勇進,합의,
人乃天,9,1911-12-15,運命說,31,unit_6_p3l,07,11,both,쌘이니特히吾敎의大旨는,人乃天,이라天이,합의,
人乃天,11,1912-02-15,死後問題,23,unit_6_p3l,10,7,both,開ᄒᆞᆯ지니卽,人乃天,과長生說에依ᄒᆞ야其理,합의,
人乃天,12,1912-03-15,我觀人生,36,unit_10_p5l,13,16,claude_only,自由라ᄒᆞᆯ지니何者오前者ᄂᆞᆫ,人乃天,의正義,C단독,
人乃天,35,1917-01-15,人生과 新年,7,,,770,verified,題의解答을與치안이ᄒᆞ얏나냐.曰,人乃天,이니人이旣히小ᄒᆞᆫ天이면汝의身,정본,Y 정본
人乃天,122,1917-12-15,野花千萬枝遊客忘歸家,11,unit_2_p1l,12,9,both,盖吾敎의要旨ᄂᆞᆫ,人乃天,이라大天이小天에,합의,
人乃天,123,1918-01-15,龍潭心法,10,unit_3_p2u,13,4,both,心法으로,人乃天,의宗旨가是에由ᄒᆞ야出ᄒᆞᆫ,합의,
人乃天,123,1918-01-15,龍潭心法,10,unit_4_p2l,10,6,both,白ᄒᆞ니故로,人乃天,은即大神師의心法이신,합의,
人乃天,40,1918-03-15,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,22,unit_10_p5l,16,4,claude_only,셔吾人은,人乃天,的信仰上으로益々未來的光明을望,C단독,
人乃天,40,1918-03-15,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,21,unit_8_p4l,19,3,both,漸次其,人乃天,的自信을弱케ᄒᆞ고遂히此를減削케,합의,
人乃天,40,1918-03-15,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,22,unit_9_p5u,18,12,both,눈오직造次顚沛間에도常히,人乃天,의至力을致ᄒᆞ되,합의,
人乃天,90,1918-03-15,孤灯의 下에셔,32,unit_2_p1l,02,3,claude_only,理中曰,人乃天,曰性身雙全等各經典에在호句,C단독,
人乃天,43,1918-09-15,追悼香山文,37,unit_2_p1l,14,3,both,所信者,人乃天,而已、性喜詩酒風月ᄒᆞ야文豪酒伯,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,12,unit_10_p5l,06,23,both,ᄒᆞᆯ지마然ᄒᆞ면吾敎의大精神即,人乃天,은直接,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_5_p3u,,333,gemini_only,로大神師의著述ᄒᆞ신經傳은一個ㅅ,人乃天,三字를講述宮에不過ᄒᆞᆫ者로看做,G단독,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_5_p3u,02,21,both,를吸收ᄒᆞᆫ者ㅣ誰가吾敎의精神이,人乃天,임을忘却ᄒᆞ야스랴然이나知ᄒᆞᆷ,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_5_p3u,06,19,both,說과如ᄒᆞ지만은三世神聖이如何히,人乃天,을骨信ᄒᆞ엿ᄂᆞ가此를一言ᄒᆞ야,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_5_p3u,08,15,both,經典에散在ᄒᆞᆫ言辭句々가모다,人乃天,三字를講述ᄒᆞᆷ에不로大神師의著,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_5_p3u,08,43,both,不로大神師의著述ᄒᆞᆫ經傳은一個,人乃天,三字를講述ᄒᆞᆷ에不,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_6_p3l,05,4,both,大神師의,人乃天,主義ᄅᆞᆯ道破ᄒᆞ化頭로自問自答,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_6_p3l,06,25,both,에大神師ᄂᆞᆫ進ᄒᆞ야露骨的으로,人乃天,,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_6_p3l,11,1,both,此,人乃天,大眞理ᄅᆞᆯ唱道ᄒᆞ시고仍히此ᄅ,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,10,unit_6_p3l,16,13,both,大神師의心法을移來ᄒᆞ야此,人乃天,主義ᄅᆞᆯ實地實行ᄒᆞᆫ,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,11,unit_7_p4u,02,1,both,면,人乃天,의主義를實行ᄒᆞᆷ에不過ᄒᆞ者이,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,11,unit_7_p4u,04,8,both,宗敎大精神되는此,人乃天,主義를一般敎徒의게敎示ᄒᆞᆯ만,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,11,unit_7_p4u,14,1,both,即,人乃天,의實行方法이라吾人은此訓을受ᄒᆞ,합의,
人乃天,96,1918-10-15,各其所信을 反省ᄒᆞ라,11,unit_8_p4l,12,1,both,盖,人乃天,은徹頭徹尾自力的이어눌吾人의信仰,합의,
人乃天,82,1918-11-15,大神師性靈出世說(其五),,unit_1_p1,,75,gemini_only,公이된資格이玆에表顯되엿ᄂᆞ니,人乃天,은卽吾敎의最後眞理가되엿섯다故로,G단독,
人乃天,82,1918-11-15,大神師性靈出世說(其五),,unit_1_p1,,170,gemini_only,又進ᄒᆞ야神을崇拜코저ᄒᆞ면먼저,人乃天,主義에根據ᄒᆞ야大喝ᄒᆞ노라神의,G단독,
人乃天,97,1918-11-15,信仰性과 社會性,7,unit_3_p2u,09,9,both,이發達ᄒᆞ는處에서,人乃天,의大精神,합의,
