series,tonggwon,publish_date,title,last_held,next_title,next_page,next_cnts,next_title_nl,how,downloaded
2,9,1911-04-15,信念의 神聖,28,物理學,29,,,못찾음,
10,18,1912-01-15,新年에 對ᄒᆞᆫ 新感想으로 新發明을 公告言,22,無若有實若虛,23,,,못찾음,
21,32,1913-03-15,默念中三我,25,樂觀,27,,,못찾음,
25,45,1914-04-15,吊孫鳳奎文幷小引,34,詞藻,35,,,못찾음,
28,51,1914-10-15,余의 暗遊,30,信者還元에 對ᄒᆞ야,31,,,못찾음,
34,63,1915-10-15,大宇宙之戀愛,28,片時後寂寞을 斷不爲라,29,CNTS-00048064887,[天道敎會月報 第六十三號] 講演 : 片時後寂寞을斷不爲라,호수일치,"{'cnts_id': 'CNTS-00048064887', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
36,88,1917-11-15,是我修養,12,一人布德이 即天下布德,13,CNTS-00048065095,[天道敎會月報 第八十八號] 講演 : 一人布德이卽天下布德,호수일치,"{'cnts_id': 'CNTS-00048065095', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
39,91,1918-02-15,宗敎의 兩側面,11,天人合一,12,,,못찾음,
40,92,1918-03-15,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,22,無常常觀,23,CNTS-00048078892,[天道敎會月報 第九十二號] 講演 : 無常常觀,호수일치,"{'cnts_id': 'CNTS-00048078892', 'status': 'ok', 'n_pages': 4, 'n_bytes': 985843, 'note': ''}"
44,100,1918-12-18,百號紀念에 對ᄒᆞᆫ 余의 感想,13,百號의 記念과 余의 哀情,14,CNTS-00131030494,祝辭 : 「現代文學」第百號 記念祝辭,⚠️호수만일치,"{'cnts_id': 'CNTS-00131030494', 'status': 'error', 'n_pages': 0, 'n_bytes': 0, 'note': 'no viewer vars (DRM block?)'}"
46,102,1919-02-15,將來의 宗敎,6,天道敎의 將來,7,CNTS-00048065249,[天道敎會月報 第壹百貳號] 敎門訂議 : 天道教의將來,호수일치,"{'cnts_id': 'CNTS-00048065249', 'status': 'ok', 'n_pages': 4, 'n_bytes': 924344, 'note': ''}"
48,104,1919-04-15,靈通說,28,四十九日祈禱後,29,CNTS-00048037799,[天道敎會月報 第壹百四號] 敎理部 : 四十九日祈禱後에,호수일치,"{'cnts_id': 'CNTS-00048037799', 'status': 'ok', 'n_pages': 2, 'n_bytes': 454197, 'note': ''}"
49,105,1919-05-15,默念論(續),17,大神師性靈出世와 東經,18,CNTS-00048065277,[天道敎會月報 第壹百五號] 敎理部 : 大神師性靈出世와東經,호수일치,"{'cnts_id': 'CNTS-00048065277', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1184144, 'note': ''}"
50,106,1919-06-15,眞實된 信仰生活,8,大神師性靈出世와 東經(續),9,CNTS-00048051627,[天道敎會月報 第壹百六號] 敎理部 : 大神師性靈出世와東經(續),호수일치,"{'cnts_id': 'CNTS-00048051627', 'status': 'ok', 'n_pages': 6, 'n_bytes': 1238387, 'note': ''}"
51,107,1919-07-15,愛의 開放,10,大神師性靈出世와 東經(其三),11,CNTS-00048037825,[天道敎會月報苐壹百七號] 敎理部 : 大神師性靈出主와 東經. 其3,호수일치,"{'cnts_id': 'CNTS-00048037825', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1086466, 'note': ''}"
52,109,1919-09-15,自覺ᄒᆞ야써 其根에 歸ᄒᆞ라,6,心和氣和以待春和,7,CNTS-00048051643,[天主敎會月報苐壹百九號] 敎門訂議 : 心和氣和以待春和,호수일치,"{'cnts_id': 'CNTS-00048051643', 'status': 'ok', 'n_pages': 3, 'n_bytes': 602838, 'note': ''}"
53,110,1919-10-15,今日以後의 宗敎,6,內生活과 外生活을 論ᄒᆞ야 ᄡᅥ 人生의 歸眞을 促ᄒᆞᆷ,7,CNTS-00048079046,[天主敎會月報苐壹百拾號] 敎門訂議 : 內生活과外生活을論ᄒᆞ야써人生의歸眞을促ᄒᆞᆷ,호수일치,"{'cnts_id': 'CNTS-00048079046', 'status': 'ok', 'n_pages': 3, 'n_bytes': 652431, 'note': ''}"
54,111,1919-11-15,十月二十八日大祈禱,6,責任上布德의 前後觀,7,CNTS-00048079062,[天道敎會月報第壹百拾壹號] 敎門訂議 : 責任上布德의前後觀,호수일치,"{'cnts_id': 'CNTS-00048079062', 'status': 'ok', 'n_pages': 15, 'n_bytes': 2956269, 'note': ''}"
55,112,1919-12-15,改造와 宗敎,8,歲君과 余의 感想,9,CNTS-00048065324,[天道敎會月報第壹百拾二號] 敎門訂議 : 歲君과余의感想,호수일치,"{'cnts_id': 'CNTS-00048065324', 'status': 'ok', 'n_pages': 3, 'n_bytes': 655535, 'note': ''}"
56,113,1920-01-15,天道敎六十一歲花甲庚申을 迎喜,12,謹迎庚申年,13,CNTS-00048065338,天道敎會月報第壹百拾三號 : 敎門訂議 : 謹迎庚申年,호수일치,"{'cnts_id': 'CNTS-00048065338', 'status': 'ok', 'n_pages': 3, 'n_bytes': 518625, 'note': ''}"
57,114,1920-02-15,天道敎靑年臨時敎理講習會에 就하야,6,人格과 宗敎的 修養,7,CNTS-00048051697,天道敎會月報第壹百拾四號 : 敎門訂議 : 人格과宗敎的修養,호수일치,"{'cnts_id': 'CNTS-00048051697', 'status': 'ok', 'n_pages': 4, 'n_bytes': 739940, 'note': ''}"
60,118,1920-06-15,自己解放과 人乃天主義,8,活動期에 立한 天道敎人의 實力如何를 論함,9,CNTS-00048065378,天道敎會月報第壹百拾八號 : 活動期에立한天道敎의實力如何를論함,호수일치,"{'cnts_id': 'CNTS-00048065378', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1050583, 'note': ''}"
61,119,1920-07-15,自己解放과 人乃天主義(續),5,活動期에 立한 天道敎人의 實力如何를 論함(續),6,,,못찾음,
63,121,1920-09-15,오로지 法門에 依信하라,8,新時代를 問하노라,9,CNTS-00048065410,天道敎會月報第壹百貳拾壹號 : 新時代를問하노라,호수일치,"{'cnts_id': 'CNTS-00048065410', 'status': 'ok', 'n_pages': 6, 'n_bytes': 1235002, 'note': ''}"
64,122,1920-10-15,布德天下는 活誠에 在하니라,11,먼데셔 구하지 말고 나를 닥그라,12,CNTS-00048051789,天道敎會月報第壹百貳拾貳號 : 먼데셔구하지말고나를닥그라,호수일치,"{'cnts_id': 'CNTS-00048051789', 'status': 'ok', 'n_pages': 3, 'n_bytes': 623261, 'note': ''}"
65,123,1920-11-15,拘束의 宗敎로부터 自由의 宗敎,8,十月二十八日을 機會로하야 天下의 聖地인 慶州를 一言하노라,9,CNTS-00048065428,天道敎會月報第壹百貳十參號 : 十月二十八日을機會로하야 天下의聖地인慶州를一言하노라,호수일치,"{'cnts_id': 'CNTS-00048065428', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1099725, 'note': ''}"
66,126,1921-02-15,布德天下,8,宗敎性과 國家性을 論하다가 朝鮮宗敎에 及하야,9,CNTS-00048037995,天道敎會月報第壹百貳拾六號 : 宗敎性과밋國家性을論하다가朝鮮宗敎에及하야,호수일치,"{'cnts_id': 'CNTS-00048037995', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1130524, 'note': ''}"
67,127,1921-03-15,同歸一體,7,宗敎또는 道德이라함은 무엇이냐,8,,,못찾음,
68,130,1921-06-15,사람性의 無窮을 論하노라(續),5,四大誡命과 人乃天,6,CNTS-00048065478,天道敎會月報第壹百參拾號 : 四大誡命과人乃天,호수일치,"{'cnts_id': 'CNTS-00048065478', 'status': 'ok', 'n_pages': 6, 'n_bytes': 1284716, 'note': ''}"
69,131,1921-07-15,新文化는 무엇에 依하야 建設되랴,5,朝鮮사람으로셔,6,,,못찾음,
71,137,1922-01-15,新紀元을 劃한 우리敎의 新面目,15,送舊迎新,16,,,못찾음,
72,138,1922-02-15,進化의 側面으로 본 人乃天,12,우리敎會의 制度改善에 對하야,13,CNTS-00048051870,天道敎會月報二月號(第壹百參拾八號) : 우리敎會의制度改善에對하야,호수일치,"{'cnts_id': 'CNTS-00048051870', 'status': 'ok', 'n_pages': 8, 'n_bytes': 2007253, 'note': ''}"
73,139,1922-03-15,信仰 觀念의 本體,15,"假飾의 圈套를 벗으소셔, 特히 「誠命」 第四項의 말삼 그대로",16,CNTS-00048038067,天道敎會月報三月號(第壹百參拾九號) : 假飾의圈套를벗으소셔 : 特히「誡命」第四項의말삼그대로,호수일치,"{'cnts_id': 'CNTS-00048038067', 'status': 'ok', 'n_pages': 7, 'n_bytes': 1778357, 'note': ''}"
75,141,1922-05-15,宗教의 六大 要素,12,信仰 復活策에 對하야,13,CNTS-00048051897,天道敎會月報五月號(第壹百四拾壹號) : 信仰復活策에對하야,호수일치,"{'cnts_id': 'CNTS-00048051897', 'status': 'ok', 'n_pages': 8, 'n_bytes': 2106112, 'note': ''}"
82,99,1918-11-15,大神師性靈出世說(其五),18,鬼神者吾也,19,CNTS-00048037737,[天道敎會月報 第九十九號] 敎理部 : 鬼神者吾也,호수일치,"{'cnts_id': 'CNTS-00048037737', 'status': 'ok', 'n_pages': 4, 'n_bytes': 888713, 'note': ''}"
83,115,1920-03-15,現代思潮와 事人如天主義,7,人生의 進化와 大神師의 大革新,8,CNTS-00048051712,天道敎會月報第壹百拾五號 : 敎門訂議 : 人生의進化와大神師의大革新,호수일치,"{'cnts_id': 'CNTS-00048051712', 'status': 'ok', 'n_pages': 4, 'n_bytes': 772490, 'note': ''}"
85,128,1921-04-15,사람性의 無窮을 論하노라,6,廣濟蒼生,7,CNTS-00048038011,天道敎會月報第壹百貳拾八號 : 廣濟蒼生,호수일치,"{'cnts_id': 'CNTS-00048038011', 'status': 'ok', 'n_pages': 7, 'n_bytes': 1624209, 'note': ''}"
86,135,1921-11-15,"우리時代의 創造事業, 目下의 急先務를 提案함",14,天道敎議正會의 第一回 開會에 際하야,15,CNTS-00048065493,天道敎會月報第壹百參拾五號 : 天道敎議正會의第一回開會에際하야,호수일치,"{'cnts_id': 'CNTS-00048065493', 'status': 'ok', 'n_pages': 13, 'n_bytes': 2657919, 'note': ''}"
90,92,1918-03-15,孤灯의 下에셔,36,茶話一撮(漫墨),37,,,못찾음,
91,93,1918-04-15,因襲的主觀에 拘束된 世人의 誤解,7,四大誡命,8,CNTS-00048037678,[天道敎會月報 第九十三號] 敎門訂議 : 四大誡命,호수일치,"{'cnts_id': 'CNTS-00048037678', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1378424, 'note': ''}"
92,94,1918-05-15,京城에셔 永興까지,46,吾人의 大市,47,CNTS-00048078908,[天道敎會月報 第九十四號] 雜爼 : 吾人의大市,호수일치,"{'cnts_id': 'CNTS-00048078908', 'status': 'ok', 'n_pages': 2, 'n_bytes': 554015, 'note': ''}"
93,95,1918-07-15,宗敎的修養과 處世方法(其一),4,今日宗敎家의 責任,5,CNTS-00048037707,[天道敎會月報 第九十五號] 敎門訂議 : 今日宗敎家의責任,호수일치,"{'cnts_id': 'CNTS-00048037707', 'status': 'ok', 'n_pages': 4, 'n_bytes': 899253, 'note': ''}"
94,96,1918-08-15,宗敎的修養과 處世方法(其二),10,侍天主의 哲學上要義,11,CNTS-00048078923,[天道敎會月報 第九十六號] 敎理部 : 侍天主의哲學上要義,호수일치,"{'cnts_id': 'CNTS-00048078923', 'status': 'ok', 'n_pages': 4, 'n_bytes': 927460, 'note': ''}"
98,100,1918-12-18,信仰性과 社會性(其二),23,歸眞의 初程,24,CNTS-00048078970,[天道敎會月報 第壹百號] 敎理部 : 歸眞의初程,호수일치,"{'cnts_id': 'CNTS-00048078970', 'status': 'ok', 'n_pages': 3, 'n_bytes': 630160, 'note': ''}"
99,101,1919-01-15,信仰性과 社會性(續),16,大道의 初步(續),17,,,못찾음,
100,102,1919-02-15,信仰性과 社會性(其四),15,大道의 初步(續),16,,,못찾음,
102,104,1919-04-15,默念論,12,至誠은 感天,13,CNTS-00048051614,[天道敎會月報 第壹百四號] 敎門訂議 : 至誠은感天,호수일치,"{'cnts_id': 'CNTS-00048051614', 'status': 'ok', 'n_pages': 3, 'n_bytes': 723398, 'note': ''}"
103,105,1919-05-15,將來의 宗敎(其三),10,默念論(續),11,CNTS-00048079021,[天道敎會月報 第壹百五號] 敎理部 : 默念論(續),호수일치,"{'cnts_id': 'CNTS-00048079021', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
104,106,1919-06-15,默念論(續),19,知我者라야 知道오 知道者라야 知我,20,CNTS-00048065283,[天道敎會月報 第壹百六號] 敎理部 : 知我者라야知道오知道者라야知我,호수일치,"{'cnts_id': 'CNTS-00048065283', 'status': 'ok', 'n_pages': 2, 'n_bytes': 365219, 'note': ''}"
106,109,1919-09-15,自力的敎化,20,爲道者 先守其心,21,,,못찾음,
107,110,1919-10-15,動物園訪問記,41,어머님씌 엿줌,42,,,못찾음,
