series,slug,markers,big,units,clean,empty,bad_per_unit,score
140,140_月尾_1919-06,543,24,10,1.0,0,59.1,59.1
150,150_略史_1920-01,311,12,6,1.0,0,55.83,55.83
144,144_北遊_1919-09,290,17,6,1.0,0,54.0,54.0
141,141_神人_1919-07,673,38,14,1.0,0,53.5,53.5
145,145_略史_1919-10,402,9,8,1.0,0,52.5,52.5
157,157_蓬萊_1919-05,266,10,6,1.0,0,47.67,47.67
95,95_迷信_1918-09,516,17,12,1.0,0,45.83,45.83
153,153_略史_1920-03,252,8,6,1.0,0,44.67,44.67
139,139_最後_1919-06,407,19,10,1.0,0,44.5,44.5
99,99_信仰_1919-01,333,8,8,1.0,0,43.62,43.62
156,156_年齡_1921-12,651,22,16,1.0,0,43.44,43.44
138,138_處世_1919-05,329,8,8,1.0,0,43.12,43.12
143,143_略史_1919-09,343,0,8,1.0,0,42.88,42.88
112,112_經傳_1920-03,232,6,6,1.0,0,40.67,40.67
118,118_實在_1920-11,451,11,12,1.0,0,39.42,39.42
155,155_問者_1920-09,141,8,4,1.0,0,39.25,39.25
100,100_信仰_1919-02,363,14,10,1.0,0,39.1,39.1
120,120_質疑_1921-07,220,4,6,1.0,0,38.0,38.0
148,148_略史_1919-12,198,15,6,1.0,0,38.0,38.0
106,106_自力_1919-09,272,13,8,1.0,0,37.25,37.25
142,142_體的_1919-07,292,3,8,1.0,0,37.25,37.25
115,115_朝鮮_1920-06,339,16,10,1.0,0,37.1,37.1
91,91_因襲_1918-04,481,13,14,1.0,0,36.21,36.21
97,97_信仰_1918-11,320,20,10,1.0,0,36.0,36.0
147,147_活動_1919-11,253,15,8,1.0,0,35.38,35.38
127,127_偉大_1918-05,325,14,10,1.0,0,35.3,35.3
152,152_大神_1920-02,191,9,6,1.0,0,34.83,34.83
151,151_涙_1920-01,138,29,6,1.0,0,32.67,32.67
149,149_理想_1919-12,179,4,6,1.0,0,31.17,31.17
116,116_本報_1920-08,214,9,8,1.0,0,29.0,29.0
146,146_略史_1919-11,154,10,6,1.0,0,29.0,29.0
108,108_新信_1919-11,127,18,6,1.0,0,27.17,27.17
154,154_遺詞_1920-08,143,8,6,1.0,0,26.5,26.5
101,101_將來_1919-03,381,14,16,1.0,0,25.56,25.56
130,130_任筆_1918-10,478,11,10,0.5,1,50.0,25.0
122,122_野花_1917-12,131,4,6,1.0,0,23.17,23.17
88,88_우리_1918-01,173,6,8,1.0,0,23.12,23.12
126,126_任筆_1918-04,516,18,12,0.5,1,46.0,23.0
132,132_任筆_1918-12,318,14,8,0.5,1,43.25,21.62
111,111_眞人_1920-02,251,45,8,0.5,1,42.62,21.31
92,92_京城_1918-05,301,16,8,0.5,2,41.62,20.81
114,114_水陸_1920-05,554,52,16,0.5,1,41.12,20.56
131,131_任筆_1918-11,301,14,8,0.5,1,41.12,20.56
158,158_我觀_1913-07,78,2,4,1.0,0,20.5,20.5
107,107_動物_1919-10,373,15,10,0.5,2,40.3,20.15
129,129_任筆_1918-09,291,9,8,0.5,2,38.62,19.31
135,135_蓬萊_1919-03,420,18,12,0.5,3,38.0,19.0
134,134_蓬萊_1919-02,383,35,12,0.5,2,37.75,18.88
94,94_宗敎_1918-08,334,14,10,0.5,1,36.2,18.1
121,121_追僧_1917-11,94,7,6,1.0,0,18.0,18.0
128,128_任筆_1918-07,199,7,6,0.5,1,35.5,17.75
105,105_處世_1919-07,409,6,12,0.5,2,35.08,17.54
137,137_心世_1919-04,302,23,10,0.5,1,34.8,17.4
124,124_是我_1918-02,234,19,8,0.5,1,34.0,17.0
133,133_任筆_1919-01,263,2,8,0.5,2,33.38,16.69
113,113_混沌_1920-04,231,17,8,0.5,1,33.12,16.56
96,96_各其_1918-10,301,15,10,0.5,1,33.1,16.55
103,103_將來_1919-05,303,13,10,0.5,3,32.9,16.45
87,87_永久_1917-12,121,4,4,0.5,1,32.25,16.12
125,125_近庚_1918-03,222,16,8,0.5,2,31.75,15.88
109,109_萬事_1919-12,232,10,8,0.5,1,31.5,15.75
110,110_宇宙_1920-01,294,10,10,0.5,1,31.4,15.7
93,93_宗敎_1918-07,238,5,8,0.5,1,31.0,15.5
136,136_余告_1919-04,210,17,8,0.5,2,30.5,15.25
117,117_呪文_1920-09,106,4,4,0.5,1,28.5,14.25
119,119_質疑_1921-04,397,23,16,0.5,5,27.69,13.84
98,98_信仰_1918-12,258,5,10,0.5,4,26.8,13.4
104,104_默念_1919-06,236,10,10,0.5,4,25.6,12.8
102,102_默念_1919-04,496,21,24,0.5,3,22.42,11.21
123,123_龍潭_1918-01,90,1,8,0.5,2,11.5,5.75
89,89_枕上_1918-02,1,0,6,1.0,0,0.17,0.17
90,90_孤灯_1918-03,1,0,10,0.5,2,0.1,0.05
