series_index,article_folder,title,cnts_id,source_folder,page_file,hash_status,expected_sha256,actual_sha256,expected_bytes,actual_bytes,expected_pixels,actual_pixels,unit_ids,unit_count_for_page,layout_visual_status,warning
30,30_最高_1915-05,最高消遣法,CNTS-00048064840,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048064840,page_001.jpg,ok,d04861fdfd73fbd8df73b5f7a05cbd06c2b109f0aa2c3524bf51b86eb5ccca09,d04861fdfd73fbd8df73b5f7a05cbd06c2b109f0aa2c3524bf51b86eb5ccca09,220980,220980,1500x2307,1500x2307,unit_1_p1u;unit_2_p1l,2,pending_visual_review,
30,30_最高_1915-05,最高消遣法,CNTS-00048064840,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048064840,page_002.jpg,ok,ad3edaf683af6fdbf05d2624a5ddc4b5f42ce9b60c33c536d7581e362e5272c5,ad3edaf683af6fdbf05d2624a5ddc4b5f42ce9b60c33c536d7581e362e5272c5,221086,221086,1500x2167,1500x2167,unit_3_p2u;unit_4_p2l,2,pending_visual_review,
30,30_最高_1915-05,最高消遣法,CNTS-00048064840,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048064840,page_003.jpg,ok,d5ea69114a94bca093833f4b93c70de8fee6f3d6d8a65205cab8eb7d92353753,d5ea69114a94bca093833f4b93c70de8fee6f3d6d8a65205cab8eb7d92353753,218276,218276,1500x2309,1500x2309,unit_5_p3u;unit_6_p3l,2,pending_visual_review,
31,31_篤心_1915-06,篤心者의 精靈不滅,CNTS-00048078602,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078602,page_001.jpg,ok,70bc99de0bd06a31984fb0907c4077ea57373215f10bafcb7db1ea81e829c46b,70bc99de0bd06a31984fb0907c4077ea57373215f10bafcb7db1ea81e829c46b,220028,220028,1500x2356,1500x2356,unit_1_p1u;unit_2_p1l,2,pending_visual_review,
31,31_篤心_1915-06,篤心者의 精靈不滅,CNTS-00048078602,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078602,page_002.jpg,ok,d4b0e797514eea86c00e50e5af42a562a5f5c4f966e078a505246007888f5862,d4b0e797514eea86c00e50e5af42a562a5f5c4f966e078a505246007888f5862,257430,257430,1500x2410,1500x2410,unit_3_p2u;unit_4_p2l,2,pending_visual_review,
31,31_篤心_1915-06,篤心者의 精靈不滅,CNTS-00048078602,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078602,page_003.jpg,ok,5ee885547a8a73359b414b8eb44136828a9f989b9869706ffd1e119c360bc719,5ee885547a8a73359b414b8eb44136828a9f989b9869706ffd1e119c360bc719,225189,225189,1500x2352,1500x2352,unit_5_p3u;unit_6_p3l,2,pending_visual_review,
32,32_人生_1915-08,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,CNTS-00048078620,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078620,page_001.jpg,ok,1a6294abcff7113f28188fce1edc14df41649147fa796c9505ca04e1c7cd7c90,1a6294abcff7113f28188fce1edc14df41649147fa796c9505ca04e1c7cd7c90,231463,231463,1500x2309,1500x2309,unit_1_p1u;unit_2_p1l,2,pending_visual_review,
32,32_人生_1915-08,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,CNTS-00048078620,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078620,page_002.jpg,ok,12cb1be6ba41aacb362d4a6c0d002ac381e5777e3a9073b78ec46dc6b8bb108d,12cb1be6ba41aacb362d4a6c0d002ac381e5777e3a9073b78ec46dc6b8bb108d,266142,266142,1500x2331,1500x2331,unit_3_p2u;unit_4_p2l,2,pending_visual_review,
32,32_人生_1915-08,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,CNTS-00048078620,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078620,page_003.jpg,ok,72bd7b716339048d35dc17da74c540908536708451eecaa87143f45f7788cf06,72bd7b716339048d35dc17da74c540908536708451eecaa87143f45f7788cf06,251186,251186,1500x2317,1500x2317,unit_5_p3u;unit_6_p3l,2,pending_visual_review,
32,32_人生_1915-08,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,CNTS-00048078620,raw/journals/cheondogyo_wolbo/nl_bibliography/articles/CNTS-00048078620,page_004.jpg,ok,c5183ee1008fcea7340bb7a69d127714be1e5185ecea057c52613029a656445a,c5183ee1008fcea7340bb7a69d127714be1e5185ecea057c52613029a656445a,269050,269050,1500x2318,1500x2318,unit_7_p4u;unit_8_p4l,2,pending_visual_review,
