tonggwon	publish_date	section	title	pen	page	series	status
6	1911-01-15	講演	勸誘天下失樂者	李敦化	25	1	코퍼스
9	1911-04-15	講演	信念의 神聖	李敦化	26	2	코퍼스
11	1911-06-15	講演	宗敎統一은 自然의 勢	李敦化	27	3	코퍼스
12	1911-07-15	敎理部	人乃天	李敦化	10	4	코퍼스
13	1911-08-15	敎理部	觀感說	李敦化	30	5	코퍼스
14	1911-09-15	敎理部	還人欲이라야 眞樂生이오 眞樂이라야 世界得幸福이라	李敦化	14	6	코퍼스
15	1911-10-15	講演	大雄無畏觀	李敦化	23	7	코퍼스
16	1911-11-15	講演	因果의 神案	李敦化	24	8	코퍼스
17	1911-12-15	講演	運命說	李敦化	29	9	코퍼스
18	1912-01-15	講演	新年에 對ᄒᆞᆫ 新感想으로 新發明을 公告言	李敦化	19	10	코퍼스
19	1912-02-15	講演	死後問題	李敦化	21	11	코퍼스
20	1912-03-15	講演	我觀人生	李敦化	32	12	코퍼스
21	1912-04-15	敎理部	宇宙說	李敦化	9	13	코퍼스
22	1912-05-15	講演	自修喻人의 解	李敦化	25	14	코퍼스
23	1912-06-15	敎理部	東經大全要旨講解	李敦化	9	15	코퍼스
24	1912-07-15	敎理部	東經大全要旨講解(續)	李敦化	7	16	코퍼스
25	1912-08-15	敎理部	東經大全要旨講解(續)	李敦化	12	76	코퍼스
26	1912-09-15	敎理部	東經要旨講解(續)	李敦化	14	17	코퍼스
27	1912-10-15	敎理部	靈通力이 事實됨을 解明言	李敦化	11	77	코퍼스
29	1912-12-15	敎理部	靈通力의 事實됨을 解明言(續)	李敦化	12	18	코퍼스
30	1913-01-15	雜俎	理想中新光陰	李敦化	37	19	코퍼스
31	1913-02-15	雜俎	光의 說	李敦化	34	20	코퍼스
32	1913-03-15	講演	默念中三我	李敦化	24	21	코퍼스
33	1913-04-15	敎理部	靈性의 生活	李敦化	8		미확보
36	1913-07-15	講演	我觀苦樂論	李敦化	19		미확보
37	1913-08-15	敎門訂議	紀念과 余의 告白	李敦化	6	22	코퍼스
42	1914-01-15	敎理部	個性中心說	李敦化	15	23	코퍼스
44	1914-03-15	敎門訂議	定州郡敎區室實記	李敦化	4	24	코퍼스
45	1914-04-15	雜俎	吊孫鳳奎文幷小引	李敦化	32	25	코퍼스
46	1914-05-15	雜俎	韓錫泰君追悼會席에서	李敦化	28	26	코퍼스
48	1914-07-15	講演	幸福이 何處在오 究竟是精神內觀	李敦化	18		미확보
49	1914-08-15	雜俎	定州로 붓터 高原에	李敦化	32	27	코퍼스
51	1914-10-15	雜俎	余의 暗遊	李敦化	28	28	코퍼스
52	1914-11-15	敎理部	真理의 根底를 誤解치 勿하라	李敦化	7	29	코퍼스
58	1915-05-15	講演	最高消遣法	李敦化	25	30	코퍼스
59	1915-06-15	雜俎	篤心者의 精靈不滅	李敦化	38	31	코퍼스
61	1915-08-15	敎理部	人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함	李敦化	12	32	코퍼스
62	1915-09-15	雜俎	金剛山追憶大神師	李敦化	34	33	코퍼스
63	1915-10-15	講演	大宇宙之戀愛	李敦化	26	34	코퍼스
77	1916-12-15	講演	人生	李敦化	19		미확보
78	1917-01-15	敎門訂議	人生과 新年	李敦化	5	35	코퍼스
88	1917-11-15	敎理部	是我修養	李敦化	10	36	코퍼스
88	1917-11-15	雜俎	追僧과 活僧	滄海居士	24	121	코퍼스
89	1917-12-15	敎門訂議	吾敎의 大宗	李敦化	2	37	코퍼스
89	1917-12-15	敎理部	野花千萬枝遊客忘歸家	滄海居士	11	122	코퍼스
89	1917-12-15	雜俎	永久之愛妻	夜雷	29	87	코퍼스
90	1918-01-15	諺文部	우리ᄂᆞᆫ 무슨 필요로 도를 닥는가	夜雷	4	88	코퍼스
90	1918-01-15	敎門訂議	新年과 人生	李敦化	5	38	코퍼스
90	1918-01-15	敎理部	龍潭心法	滄海居士	9	123	코퍼스
91	1918-02-15	敎理部	宗敎의 兩側面	李敦化	9	39	코퍼스
91	1918-02-15	講演	是我死生觀	滄海居士	16	124	코퍼스
91	1918-02-15	雜俎	枕上雜感	夜雷	30	89	코퍼스
92	1918-03-15	敎門訂議	近ᄒᆞ야 오ᄂᆞᆫ 庚申四月	滄海居士	5	125	코퍼스
92	1918-03-15	講演	信仰上으로 觀ᄒᆞᆯ 吾人의 努力	李敦化	18	40	코퍼스
92	1918-03-15	雜俎	孤灯의 下에셔	夜雷	32	90	코퍼스
93	1918-04-15	敎門訂議	因襲的主觀에 拘束된 世人의 誤解	夜雷	1	91	코퍼스
93	1918-04-15	敎理部	神平河善論	李敦化	16		미확보
93	1918-04-15	雜俎	還元一束	滄海居士	42	126	코퍼스
94	1918-05-15	敎門訂議	兩道師巡回와 關北敎友	李敦化	8	41	코퍼스
94	1918-05-15	敎理部	偉大ᄒᆞᆫ 心의 世界 其二	滄海居士	15	127	코퍼스
94	1918-05-15	雜俎	京城에셔 永興까지	夜雷	43	92	코퍼스
95	1918-07-15	敎門訂議	宗敎的修養과 處世方法(其一)	夜雷	1	93	코퍼스
95	1918-07-15	敎理部	大神師性靈出世說(其一)	李敦化	10	42	코퍼스
95	1918-07-15	雜俎	任筆錄(其三)	滄海居士	30	128	코퍼스
96	1918-08-15	敎門訂議	宗敎的修養과 處世方法(其二)	夜雷	6	94	코퍼스
96	1918-08-15	敎理部	大神師性靈出世說(其二)	李敦化	14	79	코퍼스
96	1918-08-15	雜俎	任筆錄(其四)	滄海居士	39		미확보
