chapter_1915,C01-S01,C01-S02,C02-S01,C02-S02,C03-S01,C03-S02,C03-S03,C03-S04,C04-S01,C04-S02,C04-S03,C05-S01,C05-S02,C05-S03,C05-S04,C05-S05,C05-S06,C05-S07,C06-S01,C06-S02,C06-S03,C06-S04,C06-S05,C06-S06,C06-S07
C00,0.03048780487804878,0.028368794326241134,0.013333333333333334,0.03260869565217391,0.0,0.011299435028248588,0.020689655172413793,0.023474178403755867,0.012578616352201259,0.018867924528301886,0.014150943396226415,0.01910828025477707,0.0111731843575419,0.0,0.007352941176470588,0.00641025641025641,0.012903225806451613,0.006896551724137931,0.017964071856287425,0.012738853503184714,0.02564102564102564,0.013986013986013986,0.02040816326530612,0.022388059701492536,0.01910828025477707
C01,0.052083333333333336,0.06965174129353234,0.056338028169014086,0.0423728813559322,0.022222222222222223,0.021739130434782608,0.10714285714285714,0.14285714285714285,0.03773584905660377,0.04854368932038835,0.0625,0.04,0.03333333333333333,0.05555555555555555,0.05,0.07142857142857142,0.03333333333333333,0.05263157894736842,0.04918032786885246,0.043478260869565216,0.035175879396984924,0.05357142857142857,0.0625,0.2,0.05
C02,0.05319148936170213,0.06060606060606061,0.06153846153846154,0.04032258064516129,0.031578947368421054,0.06060606060606061,0.08163265306122448,0.25,0.0625,0.05084745762711865,0.06666666666666667,0.04477611940298507,0.047619047619047616,0.08695652173913043,0.06896551724137931,0.041666666666666664,0.056338028169014086,0.07142857142857142,0.045454545454545456,0.0625,0.05555555555555555,0.05555555555555555,0.04794520547945205,0.06818181818181818,0.058823529411764705
C03,0.04424778761061947,0.06567164179104477,0.046511627906976744,0.028,0.032,0.03529411764705882,0.0449438202247191,0.07377049180327869,0.06299212598425197,0.0449438202247191,0.04672897196261682,0.044444444444444446,0.04895104895104895,0.043478260869565216,0.03225806451612903,0.021052631578947368,0.04918032786885246,0.049586776859504134,0.07142857142857142,0.0423728813559322,0.05384615384615385,0.045454545454545456,0.041666666666666664,0.0625,0.05263157894736842
C04,0.06140350877192982,0.064,0.041666666666666664,0.03076923076923077,0.024,0.030303030303030304,0.0625,0.08823529411764706,0.05714285714285714,0.0392156862745098,0.05263157894736842,0.03636363636363636,0.041666666666666664,0.04395604395604396,0.0625,0.03571428571428571,0.0625,0.041666666666666664,0.047619047619047616,0.03571428571428571,0.05084745762711865,0.056338028169014086,0.0625,0.07692307692307693,0.05813953488372093
C05,0.07692307692307693,0.04838709677419355,0.050724637681159424,0.075,0.025974025974025976,0.037037037037037035,0.09090909090909091,0.16666666666666666,0.06896551724137931,0.05555555555555555,0.06097560975609756,0.05263157894736842,0.05263157894736842,0.04081632653061224,0.05263157894736842,0.04878048780487805,0.05,0.05454545454545454,0.058823529411764705,0.053763440860215055,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.07142857142857142,0.06153846153846154
C06,0.03821656050955414,0.04680851063829787,0.05405405405405406,0.03076923076923077,0.021739130434782608,0.024691358024691357,0.07692307692307693,0.25,0.037037037037037035,0.044444444444444446,0.05172413793103448,0.037037037037037035,0.05,0.05,0.029411764705882353,0.05,0.04938271604938271,0.05102040816326531,0.02702702702702703,0.05434782608695652,0.045871559633027525,0.04580152671755725,0.06060606060606061,0.09090909090909091,0.06666666666666667
C07,0.1,0.056962025316455694,0.046153846153846156,0.035398230088495575,0.017391304347826087,0.02,0.050314465408805034,0.06875,0.045454545454545456,0.05,0.041666666666666664,0.034482758620689655,0.02962962962962963,0.03007518796992481,0.041666666666666664,0.034482758620689655,0.043478260869565216,0.031446540880503145,0.05714285714285714,0.06285714285714286,0.0380952380952381,0.05555555555555555,0.042328042328042326,0.03225806451612903,0.044444444444444446
C08,0.05747126436781609,0.05660377358490566,0.05755395683453238,0.037037037037037035,0.024096385542168676,0.03225806451612903,0.07142857142857142,0.15384615384615385,0.05555555555555555,0.05102040816326531,0.04878048780487805,0.047058823529411764,0.034482758620689655,0.029411764705882353,0.047619047619047616,0.022988505747126436,0.06451612903225806,0.056338028169014086,0.042105263157894736,0.04285714285714286,0.056338028169014086,0.08064516129032258,0.058823529411764705,0.05555555555555555,0.07142857142857142
C09,0.046875,0.0425531914893617,0.03076923076923077,0.04,0.015384615384615385,0.03773584905660377,0.043478260869565216,0.0625,0.03636363636363636,0.039473684210526314,0.03787878787878788,0.04597701149425287,0.02857142857142857,0.03225806451612903,0.05,0.0196078431372549,0.0380952380952381,0.03488372093023256,0.029850746268656716,0.023529411764705882,0.04201680672268908,0.0410958904109589,0.03278688524590164,0.03571428571428571,0.041666666666666664
