word,count,rel_freq_permille,rank,source
宗敎,664,16.626,1,1915
出來,590,14.773,2,1915
生命,534,13.371,3,1915
日本,449,11.242,4,1915
佛敎,442,11.067,5,1915
人間,398,9.965,6,1915
神樣,374,9.365,7,1915
哲學,365,9.139,8,1915
基督敎,339,8.488,9,1915
非常,256,6.41,10,1915
目的,247,6.185,11,1915
矢張,243,6.084,12,1915
精神,240,6.009,13,1915
神道,235,5.884,14,1915
其處,226,5.659,15,1915
硏究,224,5.609,16,1915
次第,224,5.609,17,1915
解釋,217,5.433,18,1915
發展,213,5.333,19,1915
關係,200,5.008,20,1915
今日,191,4.782,21,1915
儒敎,170,4.257,22,1915
意志,162,4.056,23,1915
問題,160,4.006,24,1915
神話,154,3.856,25,1915
必要,145,3.631,26,1915
這入,139,3.48,27,1915
意味,138,3.455,28,1915
世界,137,3.43,29,1915
自分,130,3.255,30,1915
何處,126,3.155,31,1915
意識,114,2.854,32,1915
活動,114,2.854,33,1915
區別,112,2.804,34,1915
宇宙,112,2.804,35,1915
結果,104,2.604,36,1915
支那,102,2.554,37,1915
勢力,102,2.554,38,1915
社會,100,2.504,39,1915
方面,100,2.504,40,1915
知識,98,2.454,41,1915
印度,98,2.454,42,1915
物質,89,2.228,43,1915
具合,88,2.203,44,1915
性質,87,2.178,45,1915
日本民族,86,2.153,46,1915
人生,86,2.153,47,1915
敎育,85,2.128,48,1915
立場,84,2.103,49,1915
思想,84,2.103,50,1915
動物,83,2.078,51,1915
唯物論,82,2.053,52,1915
如何,82,2.053,53,1915
相違,81,2.028,54,1915
運動,80,2.003,55,1915
進化論,80,2.003,56,1915
統一,79,1.978,57,1915
場合,76,1.903,58,1915
民族,72,1.803,59,1915
佛陀,72,1.803,60,1915
主張,72,1.803,61,1915
發達,71,1.778,62,1915
説明,69,1.728,63,1915
一方,69,1.728,64,1915
道徳,69,1.728,65,1915
國家,69,1.728,66,1915
一致,68,1.703,67,1915
唯心論,68,1.703,68,1915
科學,68,1.703,69,1915
特殊,67,1.678,70,1915
態度,66,1.653,71,1915
意識界,66,1.653,72,1915
仕舞,65,1.628,73,1915
欲動,63,1.577,74,1915
系統,63,1.577,75,1915
範圍,63,1.577,76,1915
植物,62,1.552,77,1915
傾向,61,1.527,78,1915
西洋,60,1.502,79,1915
大變,59,1.477,80,1915
事實,57,1.427,81,1915
立派,57,1.427,82,1915
影響,56,1.402,83,1915
觀念,55,1.377,84,1915
根本的,55,1.377,85,1915
大事,54,1.352,86,1915
實在,54,1.352,87,1915
信仰,54,1.352,88,1915
肉體,54,1.352,89,1915
變化,54,1.352,90,1915
最後,54,1.352,91,1915
有樣,53,1.327,92,1915
人類,52,1.302,93,1915
個人,50,1.252,94,1915
工合,50,1.252,95,1915
基督,50,1.252,96,1915
風俗,49,1.227,97,1915
人格,49,1.227,98,1915
澤山,48,1.202,99,1915
生物,48,1.202,100,1915
天照大神,47,1.177,101,1915
第一,47,1.177,102,1915
自然科學,47,1.177,103,1915
國民敎育,46,1.152,104,1915
一神敎,46,1.152,105,1915
努力,46,1.152,106,1915
南洋,45,1.127,107,1915
意志活動,45,1.127,108,1915
日本人,44,1.102,109,1915
本當,44,1.102,110,1915
此處,43,1.077,111,1915
