chapter_1915,C01,C02,C03,C04,C05,C06
C00,0.012393594901406747,0.007090899793344187,0.0036090561022867327,0.003491817459642676,0.0025422122771451713,0.006693570280378369
C01,0.010959047131879694,0.007491755225042229,0.004655633879726797,0.005020195523891242,0.0038188966484161836,0.0054667938869560236
C02,0.008153543782916913,0.008199888820324658,0.007178109510348238,0.004969897688919983,0.003921927983482343,0.004576298909592229
C03,0.008864409103077302,0.007771982857506224,0.006422030161427563,0.006380111765090576,0.004499827330009827,0.00642812270119011
C04,0.007490208559307643,0.005760778505501291,0.0063683011143800825,0.005672204360657485,0.004515272782053711,0.005439522698184474
C05,0.0073141420314812465,0.006754962458206472,0.00740356437591016,0.006261085182600258,0.004733565915708616,0.006600348521020857
C06,0.005130382751258318,0.0069826762723386605,0.009143000274688645,0.005283671483660361,0.004335393162018163,0.005068796476694457
C07,0.009331730063460282,0.007623324328042346,0.007263486862184321,0.00597075193891416,0.004457094296392808,0.005870178045786239
C08,0.009651776784745207,0.005647293467025311,0.005740097928661868,0.006019036562136311,0.004233633793683481,0.006270091456872243
C09,0.008017536338349777,0.006384915041640888,0.004025632874773707,0.004348564189587266,0.0036446193349951475,0.004172191673348262
C10,0.007682843428356371,0.010431631946227793,0.006502005053319154,0.0041590064216157204,0.004525033398739137,0.004246080410653668
C11,0.008747426657736534,0.0038804448667503723,0.0027436524483584477,0.003955514692579097,0.002781065466676533,0.005077439628584373
C12,0.007833440395770783,0.005941822475323123,0.0034392940821078646,0.004133045146871922,0.0035116837412506327,0.0062127926861282054
C13,0.009491445765342327,0.004721259782685601,0.0043010642650608754,0.004586233478031954,0.0039427347688614145,0.013120489708205646
C14,0.010642952346230012,0.0059715691645566464,0.005205936028996496,0.005896356059840872,0.004809626018814209,0.013954649252201362
C15,0.010674960730360943,0.005830114708767252,0.005053835071900315,0.005543836986398705,0.004091706583926752,0.007022558101465989
C16,0.012096376254723741,0.005996788116052799,0.005518312412986825,0.005011110148848075,0.0041556547091059935,0.007883096017051233
C17,0.015362781873725294,0.00836140117770263,0.0073733153892876465,0.0070477292519778014,0.005625254939253425,0.008287510053145484
C18,0.010007535733674466,0.0057014339218156695,0.004207200888678438,0.005954292141790399,0.004983252724175814,0.006743341322768872
C19,0.009500761470967508,0.005339077130441832,0.0038872872014459824,0.0034311288636029295,0.0033214117555606247,0.00420360495763195
C20,0.014845969614409316,0.006604345131016385,0.006653428707721996,0.006536714968699343,0.005445464868939309,0.010116013831264844
C21,0.01886973435752686,0.007594533848964562,0.007227088449227961,0.005974458141966509,0.004947353958291708,0.0077653732487799115
C22,0.010342090547417044,0.004379620312580597,0.004793198821859818,0.004462345625089672,0.0036021690988692675,0.00941203400568324
C23,0.013078295590324406,0.006621654675435023,0.004676014990719255,0.004708769973470637,0.004565014491844696,0.008287125483077093
C24,0.016295369257623517,0.007885043302182908,0.007414989675070033,0.007579101579673065,0.005312202451138307,0.008431009917522799
C25,0.007265295506288833,0.004972610380718657,0.0033786202149386126,0.0034049705566263446,0.0027944242081546153,0.005906028326812863
C26,0.0023277019293001682,0.0025570142726063397,0.0015658479115840153,0.0018525841229482334,0.0016767479160817867,0.00196235524591628
C27,0.002393477608900813,0.0015725769612194476,0.0015680080970550457,0.0022023209994377685,0.0016153605627625626,0.00201926899098779
C28,0.0036390228175861967,0.0014237916576684167,0.0018363261609593477,0.002710813281602865,0.0018141982756894413,0.00280426672695259
