chapter_1915,C01,C02,C03,C04,C05,C06
C00,,,,,,
C01,,,0.12321428571428572,,,0.2
C02,,,0.13137983848510162,,,
C03,,,,,,
C04,,,,,,
C05,,,0.1233044733044733,,,
C06,,,0.13438848052818642,,,
C07,0.1,,,,,
C08,,,0.1361336032388664,,,
C09,,,,,,
C10,,,,,,
C11,,,,,,
C12,,,,,,
C13,,,0.1,,,0.1428020409461479
C14,,,0.125,,,0.1326069475279617
C15,,,,,,
C16,,,,,,
C17,,,,,,
C18,,,,,,
C19,,,,,,
C20,,,,,,
C21,0.16099962839093274,,0.125,,,0.11428571428571428
C22,,,,,,0.119187675070028
C23,,,,,,0.10818713450292397
C24,,,,,,
C25,,,,,,
C26,,,,,,0.1067629179331307
C27,,,,,,
C28,,,,,,
