chapter_1915,C01,C02,C03,C04,C05,C06
C00,0,0,0,0,0,0
C01,0,0,4,0,0,2
C02,0,0,15,0,0,0
C03,0,0,0,0,0,0
C04,0,0,0,0,0,0
C05,0,0,11,0,0,0
C06,0,0,24,0,0,0
C07,1,0,0,0,0,0
C08,0,0,2,0,0,0
C09,0,0,0,0,0,0
C10,0,0,0,0,0,0
C11,0,0,0,0,0,0
C12,0,0,0,0,0,0
C13,0,0,1,0,0,33
C14,0,0,1,0,0,23
C15,0,0,0,0,0,0
C16,0,0,0,0,0,0
C17,0,0,0,0,0,0
C18,0,0,0,0,0,0
C19,0,0,0,0,0,0
C20,0,0,0,0,0,0
C21,3,0,1,0,0,3
C22,0,0,0,0,0,7
C23,0,0,0,0,0,2
C24,0,0,0,0,0,0
C25,0,0,0,0,0,0
C26,0,0,0,0,0,2
C27,0,0,0,0,0,0
C28,0,0,0,0,0,0
